time.time(), c1pp, c2pp, c1rms, c2rms
1727870347.8823657, 2.030E+00, 2.007E+01, 6.892E-01, 6.987E+00 
1727870347.9949965, 2.029E+00, 2.007E+01, 6.887E-01, 6.988E+00 
1727870348.1087215, 2.031E+00, 2.007E+01, 6.890E-01, 6.986E+00 
1727870348.223298, 2.029E+00, 2.008E+01, 6.890E-01, 6.987E+00 
1727870348.3350415, 2.033E+00, 2.002E+01, 6.890E-01, 6.986E+00 
1727870348.446903, 2.032E+00, 2.007E+01, 6.889E-01, 6.989E+00 
1727870348.5587244, 2.026E+00, 2.007E+01, 6.887E-01, 6.986E+00 
1727870348.6715045, 2.029E+00, 2.005E+01, 6.891E-01, 6.985E+00 
1727870348.7905664, 2.029E+00, 2.007E+01, 6.891E-01, 6.986E+00 
1727870348.9028332, 2.031E+00, 2.006E+01, 6.889E-01, 6.986E+00 
1727870349.0139205, 2.028E+00, 2.007E+01, 6.890E-01, 6.986E+00 
1727870349.1267858, 2.038E+00, 2.005E+01, 6.890E-01, 6.985E+00 
1727870349.2398539, 2.031E+00, 2.006E+01, 6.889E-01, 6.988E+00 
1727870349.358197, 2.026E+00, 2.005E+01, 6.891E-01, 6.988E+00 
1727870349.4744458, 2.029E+00, 2.007E+01, 6.891E-01, 6.986E+00 
1727870349.5863197, 2.032E+00, 2.009E+01, 6.890E-01, 6.986E+00 
1727870349.7041347, 2.030E+00, 2.011E+01, 6.889E-01, 6.989E+00 
1727870349.8201098, 2.027E+00, 2.006E+01, 6.890E-01, 6.987E+00 
1727870349.9367917, 2.031E+00, 2.005E+01, 6.890E-01, 6.989E+00 
1727870350.0550523, 2.037E+00, 2.006E+01, 6.888E-01, 6.987E+00 
1727870350.1679165, 2.029E+00, 2.008E+01, 6.892E-01, 6.986E+00 
1727870350.2856262, 2.036E+00, 2.006E+01, 6.887E-01, 6.986E+00 
1727870350.401329, 2.026E+00, 2.007E+01, 6.890E-01, 6.988E+00 
1727870350.5195334, 2.049E+00, 2.005E+01, 6.888E-01, 6.988E+00 
1727870350.63518, 2.036E+00, 2.008E+01, 6.889E-01, 6.986E+00 
1727870350.7518656, 2.033E+00, 2.009E+01, 6.892E-01, 6.989E+00 
1727870350.8657198, 2.028E+00, 2.008E+01, 6.888E-01, 6.989E+00 
1727870350.9842298, 2.025E+00, 2.005E+01, 6.891E-01, 6.990E+00 
1727870351.100195, 2.042E+00, 2.008E+01, 6.889E-01, 6.988E+00 
1727870351.2151256, 2.025E+00, 2.006E+01, 6.889E-01, 6.987E+00 
1727870351.3300097, 2.028E+00, 2.009E+01, 6.890E-01, 6.989E+00 
1727870351.4431283, 2.025E+00, 2.008E+01, 6.886E-01, 6.988E+00 
1727870351.5549252, 2.025E+00, 2.007E+01, 6.888E-01, 6.987E+00 
1727870351.671017, 2.030E+00, 2.008E+01, 6.890E-01, 6.987E+00 
1727870351.784269, 2.033E+00, 2.007E+01, 6.888E-01, 6.987E+00 
1727870351.8946445, 2.030E+00, 2.007E+01, 6.888E-01, 6.987E+00 
1727870352.008496, 2.042E+00, 2.005E+01, 6.890E-01, 6.988E+00 
1727870352.1255364, 2.030E+00, 2.009E+01, 6.888E-01, 6.989E+00 
1727870352.2391176, 2.032E+00, 2.007E+01, 6.890E-01, 6.989E+00 
1727870352.3512092, 2.026E+00, 2.005E+01, 6.889E-01, 6.990E+00 
1727870352.4632554, 2.029E+00, 2.006E+01, 6.886E-01, 6.986E+00 
1727870352.5749612, 2.033E+00, 2.006E+01, 6.890E-01, 6.986E+00 
1727870352.6937046, 2.031E+00, 2.008E+01, 6.888E-01, 6.988E+00 
1727870352.8182046, 2.039E+00, 2.012E+01, 6.891E-01, 6.988E+00 
1727870352.9355984, 2.032E+00, 2.009E+01, 6.890E-01, 6.986E+00 
1727870353.0488613, 2.031E+00, 2.006E+01, 6.891E-01, 6.988E+00 
1727870353.1657064, 2.033E+00, 2.008E+01, 6.888E-01, 6.989E+00 
1727870353.2785435, 2.033E+00, 2.002E+01, 6.890E-01, 6.989E+00 
1727870353.3943932, 2.030E+00, 2.008E+01, 6.890E-01, 6.987E+00 
1727870353.5191712, 2.028E+00, 2.006E+01, 6.891E-01, 6.987E+00 
1727870353.6317084, 2.032E+00, 2.007E+01, 6.890E-01, 6.989E+00 
1727870353.7456384, 2.029E+00, 2.005E+01, 6.890E-01, 6.987E+00 
1727870353.858302, 2.039E+00, 2.007E+01, 6.889E-01, 6.988E+00 
1727870353.9736693, 2.024E+00, 2.009E+01, 6.886E-01, 6.986E+00 
1727870354.0909536, 2.029E+00, 2.007E+01, 6.891E-01, 6.987E+00 
1727870354.2082117, 2.036E+00, 2.006E+01, 6.891E-01, 6.987E+00 
1727870354.3203323, 2.032E+00, 2.008E+01, 6.891E-01, 6.986E+00 
1727870354.4341893, 2.029E+00, 2.006E+01, 6.890E-01, 6.986E+00 
1727870354.5479424, 2.026E+00, 2.007E+01, 6.889E-01, 6.986E+00 
1727870354.6629457, 2.035E+00, 2.006E+01, 6.890E-01, 6.986E+00 
1727870354.7788339, 2.028E+00, 2.006E+01, 6.889E-01, 6.988E+00 
1727870354.9011233, 2.026E+00, 2.006E+01, 6.887E-01, 6.988E+00 
1727870355.0132732, 2.031E+00, 2.007E+01, 6.888E-01, 6.986E+00 
1727870355.135299, 2.040E+00, 2.004E+01, 6.891E-01, 6.987E+00 
1727870355.2482817, 2.027E+00, 2.006E+01, 6.889E-01, 6.988E+00 
1727870355.3636484, 2.032E+00, 2.007E+01, 6.888E-01, 6.987E+00 
1727870355.4756186, 2.040E+00, 2.006E+01, 6.890E-01, 6.989E+00 
1727870355.591522, 2.038E+00, 2.008E+01, 6.888E-01, 6.988E+00 
1727870355.7062137, 2.030E+00, 2.006E+01, 6.889E-01, 6.990E+00 
1727870355.8289618, 2.033E+00, 2.007E+01, 6.891E-01, 6.988E+00 
1727870355.940923, 2.032E+00, 2.011E+01, 6.887E-01, 6.988E+00 
1727870356.0553336, 2.033E+00, 2.009E+01, 6.889E-01, 6.987E+00 
1727870356.176397, 2.030E+00, 2.011E+01, 6.890E-01, 6.987E+00 
1727870356.288785, 2.036E+00, 2.006E+01, 6.888E-01, 6.987E+00 
1727870356.4089723, 2.028E+00, 2.009E+01, 6.891E-01, 6.987E+00 
1727870356.525886, 2.027E+00, 2.007E+01, 6.889E-01, 6.989E+00 
1727870356.640394, 2.027E+00, 2.008E+01, 6.890E-01, 6.987E+00 
1727870356.7520952, 2.035E+00, 2.008E+01, 6.890E-01, 6.986E+00 
1727870356.8678138, 2.037E+00, 2.006E+01, 6.891E-01, 6.988E+00 
1727870356.9905827, 2.044E+00, 2.008E+01, 6.892E-01, 6.989E+00 
1727870357.1139102, 2.030E+00, 2.005E+01, 6.890E-01, 6.986E+00 
1727870357.2262483, 2.029E+00, 2.005E+01, 6.889E-01, 6.987E+00 
1727870357.3423564, 2.023E+00, 2.008E+01, 6.891E-01, 6.986E+00 
1727870357.4580474, 2.023E+00, 2.007E+01, 6.891E-01, 6.986E+00 
1727870357.5802221, 2.026E+00, 2.006E+01, 6.890E-01, 6.987E+00 
1727870357.6963673, 2.031E+00, 2.005E+01, 6.891E-01, 6.989E+00 
1727870357.8195198, 2.027E+00, 2.009E+01, 6.890E-01, 6.987E+00 
1727870357.931412, 2.032E+00, 2.010E+01, 6.891E-01, 6.987E+00 
1727870358.0490968, 2.028E+00, 2.007E+01, 6.888E-01, 6.990E+00 
1727870358.171208, 2.029E+00, 2.006E+01, 6.890E-01, 6.989E+00 
1727870358.2882514, 2.025E+00, 2.006E+01, 6.890E-01, 6.989E+00 
1727870358.4028852, 2.028E+00, 2.007E+01, 6.891E-01, 6.986E+00 
1727870358.5147498, 2.036E+00, 2.009E+01, 6.890E-01, 6.988E+00 
1727870358.6265442, 2.040E+00, 2.005E+01, 6.887E-01, 6.986E+00 
1727870358.7411375, 2.031E+00, 2.004E+01, 6.889E-01, 6.987E+00 
1727870358.8557835, 2.031E+00, 2.006E+01, 6.889E-01, 6.988E+00 
1727870358.9681702, 2.029E+00, 2.008E+01, 6.892E-01, 6.987E+00 
1727870359.0838609, 2.031E+00, 2.008E+01, 6.889E-01, 6.987E+00 
1727870359.1970496, 2.032E+00, 2.005E+01, 6.894E-01, 6.987E+00 
1727870359.3105474, 2.029E+00, 2.005E+01, 6.889E-01, 6.988E+00 
1727870359.4280622, 2.033E+00, 2.009E+01, 6.891E-01, 6.988E+00 
1727870359.548059, 2.023E+00, 2.010E+01, 6.888E-01, 6.986E+00 
1727870359.6649575, 2.030E+00, 2.008E+01, 6.888E-01, 6.986E+00 
1727870359.7808995, 2.035E+00, 2.007E+01, 6.887E-01, 6.988E+00 
1727870359.8986633, 2.038E+00, 2.008E+01, 6.888E-01, 6.988E+00 
1727870360.0147948, 2.030E+00, 2.006E+01, 6.890E-01, 6.986E+00 
1727870360.1278796, 2.031E+00, 2.005E+01, 6.891E-01, 6.987E+00 
1727870360.2445343, 2.030E+00, 2.009E+01, 6.888E-01, 6.990E+00 
1727870360.3615234, 2.031E+00, 2.006E+01, 6.892E-01, 6.987E+00 
1727870360.4769378, 2.033E+00, 2.006E+01, 6.890E-01, 6.988E+00 
1727870360.5913424, 2.026E+00, 2.006E+01, 6.888E-01, 6.988E+00 
1727870360.7062654, 2.029E+00, 2.006E+01, 6.889E-01, 6.988E+00 
1727870360.8238864, 2.031E+00, 2.006E+01, 6.887E-01, 6.988E+00 
1727870360.936726, 2.029E+00, 2.011E+01, 6.891E-01, 6.987E+00 
1727870361.0527885, 2.036E+00, 2.009E+01, 6.887E-01, 6.989E+00 
1727870361.168405, 2.032E+00, 2.006E+01, 6.889E-01, 6.989E+00 
1727870361.2939544, 2.026E+00, 2.010E+01, 6.892E-01, 6.988E+00 
1727870361.4188735, 2.035E+00, 2.005E+01, 6.892E-01, 6.988E+00 
1727870361.5429592, 2.026E+00, 2.006E+01, 6.891E-01, 6.985E+00 
1727870361.6616943, 2.026E+00, 2.005E+01, 6.889E-01, 6.988E+00 
1727870361.7799265, 2.029E+00, 2.006E+01, 6.891E-01, 6.989E+00 
1727870361.8942604, 2.036E+00, 2.006E+01, 6.890E-01, 6.987E+00 
1727870362.0139472, 2.026E+00, 2.006E+01, 6.890E-01, 6.985E+00 
1727870362.1297271, 2.033E+00, 2.009E+01, 6.889E-01, 6.989E+00 
1727870362.2429051, 2.030E+00, 2.010E+01, 6.889E-01, 6.987E+00 
1727870362.3553214, 2.032E+00, 2.005E+01, 6.892E-01, 6.986E+00 
1727870362.4726079, 2.020E+00, 2.008E+01, 6.891E-01, 6.987E+00 
1727870362.5889525, 2.029E+00, 2.007E+01, 6.888E-01, 6.988E+00 
1727870362.706177, 2.039E+00, 2.006E+01, 6.891E-01, 6.986E+00 
1727870362.8239884, 2.029E+00, 2.005E+01, 6.887E-01, 6.989E+00 
1727870362.9482722, 2.025E+00, 2.006E+01, 6.888E-01, 6.988E+00 
1727870363.0676978, 2.046E+00, 2.007E+01, 6.892E-01, 6.990E+00 
1727870363.1878166, 2.032E+00, 2.007E+01, 6.889E-01, 6.988E+00 
1727870363.3105078, 2.029E+00, 2.007E+01, 6.888E-01, 6.985E+00 
1727870363.4261096, 2.029E+00, 2.006E+01, 6.888E-01, 6.987E+00 
1727870363.5425484, 2.023E+00, 2.007E+01, 6.888E-01, 6.989E+00 
1727870363.6587782, 2.033E+00, 2.009E+01, 6.891E-01, 6.989E+00 
1727870363.7724445, 2.033E+00, 2.005E+01, 6.888E-01, 6.988E+00 
1727870363.8886335, 2.030E+00, 2.006E+01, 6.891E-01, 6.986E+00 
1727870364.003967, 2.033E+00, 2.005E+01, 6.889E-01, 6.988E+00 
1727870364.1183045, 2.038E+00, 2.007E+01, 6.889E-01, 6.986E+00 
1727870364.23407, 2.032E+00, 2.007E+01, 6.891E-01, 6.986E+00 
1727870364.3475661, 2.025E+00, 2.008E+01, 6.889E-01, 6.990E+00 
1727870364.4645805, 2.035E+00, 2.005E+01, 6.890E-01, 6.987E+00 
1727870364.5792153, 2.024E+00, 2.008E+01, 6.889E-01, 6.988E+00 
1727870364.691878, 2.029E+00, 2.007E+01, 6.891E-01, 6.986E+00 
1727870364.8073559, 2.026E+00, 2.006E+01, 6.891E-01, 6.986E+00 
1727870364.9228225, 2.035E+00, 2.006E+01, 6.888E-01, 6.988E+00 
1727870365.0394862, 2.035E+00, 2.007E+01, 6.889E-01, 6.988E+00 
1727870365.1532857, 2.044E+00, 2.006E+01, 6.890E-01, 6.986E+00 
