time.time(), c1pp, c2pp
1727768381.404565, 2.013E+00, 2.002E+01
1727768381.5056787, 2.026E+00, 2.002E+01
1727768381.6231198, 2.030E+00, 2.000E+01
1727768381.7305663, 2.010E+00, 2.001E+01
1727768381.8385928, 2.018E+00, 2.002E+01
1727768381.9468412, 1.999E+00, 1.997E+01
1727768382.056811, 2.022E+00, 1.995E+01
1727768382.164611, 2.018E+00, 2.003E+01
1727768382.274439, 2.022E+00, 2.004E+01
1727768382.375215, 2.008E+00, 2.002E+01
1727768382.485298, 2.019E+00, 2.000E+01
1727768382.5942154, 2.022E+00, 2.000E+01
1727768382.7019348, 2.016E+00, 1.999E+01
1727768382.8137026, 2.008E+00, 1.996E+01
1727768382.9288158, 2.015E+00, 2.004E+01
1727768383.0386705, 2.024E+00, 2.004E+01
1727768383.1461625, 2.015E+00, 2.006E+01
1727768383.253332, 2.006E+00, 1.996E+01
1727768383.3675697, 2.018E+00, 1.999E+01
1727768383.4753532, 2.011E+00, 2.004E+01
1727768383.5813437, 2.015E+00, 1.999E+01
1727768383.6977372, 2.015E+00, 1.999E+01
1727768383.8031733, 2.023E+00, 1.999E+01
1727768383.9087877, 2.015E+00, 2.004E+01
1727768384.0166714, 2.015E+00, 2.000E+01
1727768384.128569, 2.013E+00, 2.000E+01
1727768384.2322543, 2.023E+00, 1.998E+01
1727768384.3477764, 2.015E+00, 2.004E+01
1727768384.4567883, 2.015E+00, 2.004E+01
1727768384.5579114, 2.015E+00, 1.996E+01
1727768384.6706882, 2.024E+00, 2.003E+01
1727768384.7796202, 2.013E+00, 2.000E+01
1727768384.889695, 2.006E+00, 2.001E+01
1727768385.0093257, 2.020E+00, 2.005E+01
1727768385.1099608, 2.017E+00, 2.004E+01
1727768385.2248678, 2.015E+00, 2.005E+01
1727768385.3267677, 2.022E+00, 2.003E+01
1727768385.4462304, 2.019E+00, 2.002E+01
1727768385.5473046, 2.022E+00, 1.997E+01
1727768385.6647167, 2.019E+00, 2.003E+01
1727768385.765383, 2.011E+00, 2.002E+01
1727768385.874617, 2.017E+00, 1.997E+01
1727768385.9882245, 2.027E+00, 2.006E+01
1727768386.1054456, 2.010E+00, 2.007E+01
1727768386.2124228, 2.015E+00, 2.008E+01
1727768386.3194776, 2.013E+00, 2.001E+01
1727768386.427125, 2.025E+00, 2.003E+01
1727768386.5347333, 2.018E+00, 2.002E+01
1727768386.6391351, 2.020E+00, 2.004E+01
1727768386.7632985, 2.019E+00, 2.006E+01
1727768386.8765008, 2.005E+00, 2.004E+01
1727768386.9836628, 2.013E+00, 2.006E+01
1727768387.1026554, 2.010E+00, 1.999E+01
1727768387.205074, 2.015E+00, 1.998E+01
1727768387.3121727, 2.023E+00, 2.001E+01
1727768387.4279742, 2.015E+00, 2.000E+01
1727768387.5513697, 2.013E+00, 2.005E+01
1727768387.6603217, 2.004E+00, 2.001E+01
1727768387.768973, 2.016E+00, 1.998E+01
1727768387.8753629, 2.024E+00, 1.996E+01
1727768387.982672, 2.007E+00, 1.998E+01
1727768388.0922577, 2.015E+00, 2.001E+01
1727768388.201441, 2.009E+00, 2.001E+01
1727768388.309403, 2.015E+00, 2.001E+01
1727768388.4204292, 2.024E+00, 2.006E+01
1727768388.5226617, 2.024E+00, 2.005E+01
1727768388.6392815, 2.012E+00, 2.007E+01
1727768388.7457047, 2.012E+00, 2.004E+01
1727768388.846909, 2.012E+00, 2.001E+01
1727768388.9569526, 2.019E+00, 1.993E+01
1727768389.0642169, 2.013E+00, 2.006E+01
1727768389.17147, 2.015E+00, 2.005E+01
1727768389.2840376, 2.017E+00, 2.004E+01
1727768389.3916507, 2.013E+00, 2.001E+01
1727768389.5029294, 2.024E+00, 2.000E+01
1727768389.617669, 2.018E+00, 2.003E+01
1727768389.7426765, 2.009E+00, 1.998E+01
1727768389.8510706, 2.013E+00, 2.005E+01
1727768389.9577384, 2.010E+00, 2.006E+01
1727768390.067416, 2.022E+00, 1.997E+01
1727768390.1760411, 2.013E+00, 2.002E+01
1727768390.2828887, 2.020E+00, 2.003E+01
1727768390.3891258, 2.019E+00, 2.003E+01
1727768390.4961202, 2.026E+00, 2.004E+01
1727768390.6038158, 2.020E+00, 2.005E+01
1727768390.711204, 2.017E+00, 2.000E+01
1727768390.8120208, 2.020E+00, 1.994E+01
1727768390.9212072, 2.020E+00, 2.005E+01
1727768391.0303872, 2.012E+00, 2.003E+01
1727768391.143044, 2.013E+00, 1.998E+01
1727768391.249951, 2.017E+00, 2.004E+01
1727768391.3584795, 2.019E+00, 1.999E+01
1727768391.473303, 2.013E+00, 1.995E+01
1727768391.576543, 2.025E+00, 1.994E+01
1727768391.6814353, 2.017E+00, 2.000E+01
1727768391.7946827, 2.029E+00, 1.999E+01
1727768391.9104965, 2.024E+00, 1.999E+01
1727768392.0115387, 2.017E+00, 2.002E+01
1727768392.1327045, 2.027E+00, 2.001E+01
1727768392.2430367, 2.018E+00, 1.999E+01
1727768392.3486037, 2.016E+00, 2.000E+01
1727768392.4610083, 2.010E+00, 2.004E+01
1727768392.5703437, 2.018E+00, 1.998E+01
1727768392.6777139, 2.013E+00, 2.004E+01
1727768392.78646, 2.019E+00, 1.999E+01
1727768392.8984077, 2.015E+00, 2.000E+01
1727768393.0058303, 2.004E+00, 1.999E+01
1727768393.1164527, 2.013E+00, 1.999E+01
1727768393.227788, 2.017E+00, 1.997E+01
1727768393.3368638, 2.020E+00, 2.006E+01
1727768393.4433868, 2.010E+00, 1.997E+01
1727768393.5519855, 2.019E+00, 1.998E+01
1727768393.6549504, 2.008E+00, 1.999E+01
1727768393.7684193, 2.015E+00, 2.008E+01
1727768393.8816695, 2.019E+00, 2.000E+01
1727768393.993094, 2.012E+00, 2.001E+01
1727768394.0938997, 2.017E+00, 1.999E+01
1727768394.2126465, 2.015E+00, 2.000E+01
1727768394.3196747, 2.015E+00, 2.004E+01
1727768394.4211142, 2.017E+00, 2.002E+01
1727768394.545202, 2.031E+00, 2.003E+01
1727768394.6533027, 2.023E+00, 2.004E+01
1727768394.7623465, 2.029E+00, 2.006E+01
1727768394.8771718, 2.017E+00, 1.996E+01
1727768394.9854178, 2.032E+00, 1.998E+01
1727768395.0992863, 2.013E+00, 1.999E+01
1727768395.2063684, 2.025E+00, 2.002E+01
1727768395.3128068, 2.016E+00, 2.001E+01
1727768395.4276423, 2.029E+00, 2.000E+01
1727768395.5364716, 2.016E+00, 2.001E+01
1727768395.6440973, 2.018E+00, 2.001E+01
1727768395.7508554, 2.025E+00, 2.002E+01
1727768395.8578632, 2.011E+00, 2.005E+01
1727768395.9667299, 2.007E+00, 2.004E+01
1727768396.0777698, 2.012E+00, 2.000E+01
1727768396.186627, 2.016E+00, 1.998E+01
1727768396.2959168, 2.019E+00, 2.004E+01
1727768396.4095984, 2.016E+00, 2.001E+01
1727768396.517761, 2.022E+00, 2.008E+01
1727768396.6262126, 2.009E+00, 2.004E+01
1727768396.7328005, 2.026E+00, 2.005E+01
1727768396.8421743, 2.018E+00, 2.001E+01
1727768396.9504333, 2.012E+00, 1.998E+01
1727768397.058323, 2.033E+00, 1.997E+01
1727768397.1730342, 2.016E+00, 2.001E+01
1727768397.2813408, 2.018E+00, 2.004E+01
1727768397.389384, 2.023E+00, 2.007E+01
1727768397.4942434, 2.024E+00, 2.006E+01
1727768397.6012795, 2.019E+00, 1.997E+01
1727768397.7078528, 2.023E+00, 2.004E+01
1727768397.815502, 2.016E+00, 2.003E+01
1727768397.9231982, 2.010E+00, 2.001E+01
1727768398.0300667, 2.011E+00, 1.996E+01
1727768398.1305592, 2.018E+00, 1.998E+01
1727768398.2368662, 2.028E+00, 2.001E+01
1727768398.3520262, 2.020E+00, 1.995E+01
1727768398.461237, 2.022E+00, 1.994E+01
1727768398.5684397, 2.016E+00, 1.998E+01
1727768398.6769364, 2.019E+00, 2.002E+01
1727768398.7805681, 2.011E+00, 1.998E+01
1727768398.8903499, 2.013E+00, 2.000E+01
1727768398.9981537, 2.023E+00, 1.997E+01
1727768399.106373, 2.028E+00, 2.004E+01
1727768399.2136822, 2.024E+00, 2.008E+01
1727768399.3242042, 2.030E+00, 1.997E+01
1727768399.431099, 2.011E+00, 2.004E+01
1727768399.5381353, 2.019E+00, 1.998E+01
1727768399.6462216, 2.012E+00, 2.000E+01
1727768399.7552934, 2.011E+00, 2.004E+01
1727768399.8642452, 2.031E+00, 2.000E+01
1727768399.9697502, 2.013E+00, 2.000E+01
1727768400.0779939, 2.009E+00, 1.999E+01
1727768400.1851816, 2.013E+00, 1.996E+01
1727768400.2931852, 2.013E+00, 1.999E+01
1727768400.399443, 2.013E+00, 2.003E+01
1727768400.5083816, 2.017E+00, 2.001E+01
1727768400.618155, 2.017E+00, 1.998E+01
1727768400.7265127, 2.013E+00, 2.001E+01
1727768400.834423, 2.025E+00, 1.998E+01
1727768400.949042, 2.020E+00, 1.996E+01
1727768401.055509, 2.019E+00, 2.001E+01
1727768401.16233, 2.020E+00, 2.005E+01
1727768401.2677097, 2.016E+00, 1.999E+01
1727768401.374202, 2.019E+00, 2.005E+01
1727768401.4816403, 2.007E+00, 2.004E+01
1727768401.588869, 2.013E+00, 1.995E+01
1727768401.6964207, 2.015E+00, 2.003E+01
1727768401.7970698, 2.022E+00, 2.001E+01
1727768401.9155614, 2.018E+00, 2.001E+01
1727768402.016753, 2.013E+00, 2.005E+01
1727768402.1319165, 2.011E+00, 1.995E+01
1727768402.249675, 2.011E+00, 2.006E+01
1727768402.3565977, 2.023E+00, 2.006E+01
1727768402.4664564, 2.020E+00, 2.006E+01
1727768402.5779314, 2.018E+00, 2.002E+01
1727768402.6847236, 2.016E+00, 1.999E+01
1727768402.7914944, 2.013E+00, 1.997E+01
1727768402.9005709, 2.018E+00, 2.003E+01
1727768403.0092688, 2.013E+00, 1.999E+01
1727768403.1173325, 2.019E+00, 2.001E+01
1727768403.2238717, 2.017E+00, 2.007E+01
1727768403.332608, 2.016E+00, 2.001E+01
1727768403.4381409, 2.024E+00, 2.000E+01
1727768403.5452144, 2.024E+00, 2.002E+01
1727768403.6542652, 2.016E+00, 1.995E+01
1727768403.762542, 2.015E+00, 2.000E+01
1727768403.8728402, 2.022E+00, 2.005E+01
1727768403.9811358, 2.017E+00, 2.000E+01
1727768404.0895452, 2.013E+00, 2.000E+01
1727768404.1982353, 2.012E+00, 2.005E+01
1727768404.3056777, 2.016E+00, 2.000E+01
1727768404.4155548, 2.015E+00, 2.001E+01
1727768404.5243914, 2.019E+00, 2.001E+01
1727768404.6313698, 2.017E+00, 2.002E+01
1727768404.7393537, 2.017E+00, 2.002E+01
1727768404.846133, 2.018E+00, 1.999E+01
1727768404.9530797, 2.016E+00, 1.995E+01
1727768405.0593917, 2.011E+00, 1.996E+01
1727768405.1658597, 2.016E+00, 1.997E+01
1727768405.2752986, 2.013E+00, 1.995E+01
1727768405.3821208, 2.007E+00, 1.999E+01
1727768405.4879124, 2.022E+00, 2.006E+01
1727768405.5930378, 2.010E+00, 2.002E+01
1727768405.7018895, 2.012E+00, 2.008E+01
1727768405.8034377, 2.022E+00, 2.001E+01
1727768405.9160745, 2.022E+00, 1.998E+01
1727768406.025205, 2.025E+00, 2.004E+01
1727768406.1328244, 2.006E+00, 2.005E+01
1727768406.2393801, 2.020E+00, 1.999E+01
1727768406.3472822, 2.013E+00, 2.006E+01
1727768406.4520953, 2.009E+00, 2.000E+01
1727768406.5631375, 2.019E+00, 1.998E+01
1727768406.673191, 2.024E+00, 2.001E+01
1727768406.7810326, 2.023E+00, 2.004E+01
1727768406.8879411, 2.025E+00, 1.998E+01
1727768406.9961224, 2.019E+00, 2.003E+01
1727768407.107243, 2.020E+00, 2.002E+01
1727768407.2132316, 2.019E+00, 2.001E+01
1727768407.3208, 2.018E+00, 2.000E+01
1727768407.4261003, 2.017E+00, 2.001E+01
1727768407.5297425, 2.010E+00, 1.996E+01
1727768407.635769, 2.011E+00, 1.994E+01
1727768407.7401395, 2.013E+00, 1.993E+01
1727768407.85697, 2.024E+00, 2.005E+01
1727768407.9571812, 2.012E+00, 2.004E+01
1727768408.0720081, 2.004E+00, 1.998E+01
1727768408.1722524, 2.013E+00, 1.999E+01
1727768408.2959652, 2.008E+00, 1.998E+01
1727768408.4101493, 2.015E+00, 1.999E+01
1727768408.516919, 2.010E+00, 2.001E+01
1727768408.6275036, 2.022E+00, 2.008E+01
