time.time(), c1pp, c2pp, c1rms, c2rms
1727858799.7970834, 7.800E+00, 1.999E+01, 2.719E+00, 6.964E+00 
1727858799.9244945, 7.804E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858800.039754, 7.791E+00, 1.997E+01, 2.719E+00, 6.965E+00 
1727858800.1545496, 7.800E+00, 2.000E+01, 2.719E+00, 6.963E+00 
1727858800.270543, 7.795E+00, 1.998E+01, 2.719E+00, 6.964E+00 
1727858800.386396, 7.798E+00, 2.004E+01, 2.719E+00, 6.965E+00 
1727858800.5071883, 7.793E+00, 2.001E+01, 2.719E+00, 6.965E+00 
1727858800.6210725, 7.795E+00, 2.000E+01, 2.720E+00, 6.962E+00 
1727858800.7339249, 7.795E+00, 2.008E+01, 2.719E+00, 6.965E+00 
1727858800.8521588, 7.800E+00, 1.997E+01, 2.720E+00, 6.963E+00 
1727858800.9694853, 7.800E+00, 1.999E+01, 2.719E+00, 6.963E+00 
1727858801.0864906, 7.793E+00, 1.997E+01, 2.719E+00, 6.962E+00 
1727858801.2058458, 7.804E+00, 2.001E+01, 2.719E+00, 6.964E+00 
1727858801.3210034, 7.802E+00, 2.005E+01, 2.719E+00, 6.965E+00 
1727858801.4352977, 7.798E+00, 2.001E+01, 2.719E+00, 6.963E+00 
1727858801.548033, 7.802E+00, 1.999E+01, 2.720E+00, 6.964E+00 
1727858801.6649837, 7.798E+00, 2.001E+01, 2.719E+00, 6.963E+00 
1727858801.7851973, 7.807E+00, 2.004E+01, 2.719E+00, 6.965E+00 
1727858801.9048517, 7.789E+00, 2.001E+01, 2.719E+00, 6.965E+00 
1727858802.0212905, 7.800E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858802.138411, 7.791E+00, 1.999E+01, 2.719E+00, 6.965E+00 
1727858802.258373, 7.793E+00, 2.004E+01, 2.720E+00, 6.962E+00 
1727858802.3770967, 7.793E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858802.4938886, 7.802E+00, 2.004E+01, 2.719E+00, 6.961E+00 
1727858802.6051397, 7.798E+00, 2.000E+01, 2.719E+00, 6.963E+00 
1727858802.7297862, 7.795E+00, 2.001E+01, 2.719E+00, 6.964E+00 
1727858802.8435938, 7.804E+00, 2.001E+01, 2.719E+00, 6.964E+00 
1727858802.9619155, 7.798E+00, 2.000E+01, 2.719E+00, 6.963E+00 
1727858803.07923, 7.798E+00, 1.999E+01, 2.719E+00, 6.964E+00 
1727858803.1921258, 7.793E+00, 2.002E+01, 2.719E+00, 6.964E+00 
1727858803.3128154, 7.791E+00, 1.999E+01, 2.719E+00, 6.965E+00 
1727858803.4252386, 7.798E+00, 2.001E+01, 2.719E+00, 6.964E+00 
1727858803.5446727, 7.804E+00, 2.002E+01, 2.719E+00, 6.963E+00 
1727858803.660173, 7.793E+00, 1.998E+01, 2.719E+00, 6.961E+00 
1727858803.7765882, 7.791E+00, 1.999E+01, 2.719E+00, 6.963E+00 
1727858803.8947966, 7.798E+00, 2.001E+01, 2.719E+00, 6.963E+00 
1727858804.012571, 7.802E+00, 2.001E+01, 2.719E+00, 6.961E+00 
1727858804.1274798, 7.800E+00, 2.000E+01, 2.719E+00, 6.964E+00 
1727858804.2406282, 7.795E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858804.35647, 7.795E+00, 1.999E+01, 2.719E+00, 6.963E+00 
1727858804.473577, 7.793E+00, 1.999E+01, 2.719E+00, 6.964E+00 
1727858804.5872915, 7.791E+00, 2.002E+01, 2.719E+00, 6.963E+00 
1727858804.6995668, 7.804E+00, 2.003E+01, 2.719E+00, 6.964E+00 
1727858804.8110192, 7.807E+00, 2.000E+01, 2.719E+00, 6.964E+00 
1727858804.9247253, 7.798E+00, 1.999E+01, 2.720E+00, 6.961E+00 
1727858805.0393558, 7.802E+00, 2.006E+01, 2.719E+00, 6.966E+00 
