time.time(), c1pp, vset
1727699854.2476313, 1.198E+01, 599
1727699854.3549588, 1.195E+01, 599
1727699854.459009, 1.207E+01, 599
1727699854.561877, 1.208E+01, 599
1727699854.6665769, 1.198E+01, 599
1727699854.7710605, 1.196E+01, 599
1727699854.8741822, 1.196E+01, 599
1727699854.9784455, 1.200E+01, 599
1727699855.0821335, 1.204E+01, 599
1727699855.185352, 1.202E+01, 599
1727699856.2934835, 1.190E+01, 600
1727699856.397401, 1.199E+01, 600
1727699856.4999378, 1.211E+01, 600
1727699856.6037245, 1.197E+01, 600
1727699856.708139, 1.201E+01, 600
1727699856.813406, 1.204E+01, 600
1727699856.9168031, 1.206E+01, 600
1727699857.0193276, 1.199E+01, 600
1727699857.1241658, 1.197E+01, 600
1727699857.228151, 1.203E+01, 600
1727699858.3344283, 1.204E+01, 601
1727699858.437153, 1.197E+01, 601
1727699858.540933, 1.206E+01, 601
1727699858.644917, 1.210E+01, 601
1727699858.7487595, 1.204E+01, 601
1727699858.852999, 1.210E+01, 601
1727699858.9571428, 1.202E+01, 601
1727699859.060986, 1.204E+01, 601
1727699859.1653106, 1.208E+01, 601
1727699859.2657473, 1.209E+01, 601
1727699860.3742208, 1.202E+01, 602
1727699860.4755938, 1.217E+01, 602
1727699860.5799387, 1.201E+01, 602
1727699860.6916378, 1.206E+01, 602
1727699860.8007376, 1.217E+01, 602
1727699860.907235, 1.207E+01, 602
1727699861.0139656, 1.209E+01, 602
1727699861.122151, 1.208E+01, 602
1727699861.222868, 1.204E+01, 602
1727699861.336573, 1.199E+01, 602
1727699862.445174, 1.212E+01, 603
1727699862.5480278, 1.207E+01, 603
1727699862.6521387, 1.210E+01, 603
1727699862.7573009, 1.207E+01, 603
1727699862.8609462, 1.210E+01, 603
1727699862.9646454, 1.199E+01, 603
1727699863.068479, 1.212E+01, 603
1727699863.172219, 1.197E+01, 603
1727699863.2763565, 1.209E+01, 603
1727699863.383347, 1.204E+01, 603
1727699864.4888792, 1.211E+01, 604
1727699864.5924797, 1.211E+01, 604
1727699864.696469, 1.208E+01, 604
1727699864.7992585, 1.210E+01, 604
1727699864.9110918, 1.212E+01, 604
1727699865.0148365, 1.212E+01, 604
1727699865.1183999, 1.210E+01, 604
1727699865.2195141, 1.208E+01, 604
1727699865.323475, 1.214E+01, 604
1727699865.4267566, 1.208E+01, 604
1727699866.5340302, 1.206E+01, 605
1727699866.637031, 1.220E+01, 605
1727699866.7412527, 1.211E+01, 605
1727699866.843264, 1.218E+01, 605
1727699866.945149, 1.214E+01, 605
1727699867.0488882, 1.220E+01, 605
1727699867.1606038, 1.217E+01, 605
1727699867.269589, 1.210E+01, 605
1727699867.3792377, 1.224E+01, 605
1727699867.4909437, 1.210E+01, 605
1727699868.5962188, 1.209E+01, 606
1727699868.7004707, 1.204E+01, 606
1727699868.8039904, 1.218E+01, 606
1727699868.906367, 1.213E+01, 606
1727699869.01031, 1.211E+01, 606
1727699869.1136112, 1.210E+01, 606
1727699869.2166169, 1.212E+01, 606
1727699869.3217063, 1.212E+01, 606
1727699869.425825, 1.215E+01, 606
1727699869.5299482, 1.203E+01, 606
1727699870.6313362, 1.204E+01, 607
1727699870.73756, 1.219E+01, 607
1727699870.844285, 1.212E+01, 607
1727699870.9500403, 1.213E+01, 607
1727699871.0536587, 1.211E+01, 607
1727699871.156171, 1.222E+01, 607
1727699871.2603147, 1.220E+01, 607
1727699871.3607502, 1.211E+01, 607
1727699871.4676082, 1.211E+01, 607
1727699871.5726967, 1.211E+01, 607
1727699872.677529, 1.221E+01, 608
1727699872.7808201, 1.218E+01, 608
1727699872.8842714, 1.217E+01, 608
1727699872.9884572, 1.222E+01, 608
1727699873.0926085, 1.218E+01, 608
1727699873.194154, 1.220E+01, 608
1727699873.2980607, 1.211E+01, 608
1727699873.4044929, 1.212E+01, 608
1727699873.5073762, 1.224E+01, 608
1727699873.611243, 1.222E+01, 608
1727699874.7251906, 1.213E+01, 609
1727699874.829346, 1.222E+01, 609
1727699874.9324014, 1.221E+01, 609
1727699875.0337198, 1.215E+01, 609
1727699875.1377559, 1.223E+01, 609
1727699875.2419732, 1.222E+01, 609
1727699875.355768, 1.228E+01, 609
1727699875.4627268, 1.214E+01, 609
1727699875.5693862, 1.223E+01, 609
1727699875.678315, 1.221E+01, 609
1727699876.7859256, 1.206E+01, 610
1727699876.8897367, 1.219E+01, 610
1727699876.9937527, 1.219E+01, 610
1727699877.0975013, 1.220E+01, 610
1727699877.201621, 1.228E+01, 610
1727699877.31035, 1.219E+01, 610
1727699877.4197586, 1.213E+01, 610
1727699877.5273683, 1.223E+01, 610
1727699877.628404, 1.223E+01, 610
1727699877.7368467, 1.224E+01, 610
1727699878.8419933, 1.221E+01, 611
1727699878.944512, 1.223E+01, 611
1727699879.047204, 1.224E+01, 611
1727699879.152155, 1.223E+01, 611
1727699879.255399, 1.231E+01, 611
1727699879.358329, 1.221E+01, 611
1727699879.4650602, 1.228E+01, 611
1727699879.567265, 1.222E+01, 611
1727699879.670834, 1.222E+01, 611
1727699879.7739732, 1.225E+01, 611
1727699880.882934, 1.222E+01, 612
1727699880.9963145, 1.225E+01, 612
1727699881.1058574, 1.237E+01, 612
