time.time() c1rms c3rms c1pp c3pp
1725454782.2823439 8.6455E-01 1.4083E+00 2.4877E+00 4.0131E+00
1725454782.4915042 8.6448E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454782.6948078 8.6455E-01 1.4084E+00 2.4911E+00 4.0129E+00
1725454782.8992136 8.6452E-01 1.4083E+00 2.4899E+00 4.0062E+00
1725454783.1112254 8.6456E-01 1.4083E+00 2.4911E+00 4.0114E+00
1725454783.3132083 8.6454E-01 1.4083E+00 2.4899E+00 4.0147E+00
1725454783.518607 8.6451E-01 1.4082E+00 2.4945E+00 4.0097E+00
1725454783.718311 8.6452E-01 1.4084E+00 2.4888E+00 4.0096E+00
1725454783.9171028 8.6452E-01 1.4083E+00 2.4888E+00 4.0096E+00
1725454784.1244411 8.6454E-01 1.4083E+00 2.4923E+00 4.0164E+00
1725454784.332025 8.6453E-01 1.4083E+00 2.4934E+00 4.0131E+00
1725454784.538257 8.6459E-01 1.4084E+00 2.4934E+00 4.0131E+00
1725454784.7472732 8.6459E-01 1.4082E+00 2.4877E+00 4.0129E+00
1725454784.9573517 8.6456E-01 1.4082E+00 2.4899E+00 4.0079E+00
1725454785.1614327 8.6450E-01 1.4083E+00 2.4923E+00 4.0148E+00
1725454785.3702953 8.6454E-01 1.4083E+00 2.4923E+00 4.0131E+00
1725454785.5804021 8.6454E-01 1.4083E+00 2.4923E+00 4.0079E+00
1725454785.790226 8.6451E-01 1.4083E+00 2.4923E+00 4.0147E+00
1725454785.9930577 8.6451E-01 1.4083E+00 2.4934E+00 4.0131E+00
1725454786.202241 8.6455E-01 1.4082E+00 2.4922E+00 4.0131E+00
1725454786.4011178 8.6448E-01 1.4082E+00 2.4899E+00 4.0079E+00
1725454786.606625 8.6449E-01 1.4083E+00 2.4945E+00 4.0131E+00
1725454786.8016024 8.6457E-01 1.4082E+00 2.4899E+00 4.0147E+00
1725454787.0024147 8.6456E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454787.208971 8.6453E-01 1.4082E+00 2.4934E+00 4.0096E+00
1725454787.4118373 8.6456E-01 1.4082E+00 2.4888E+00 4.0147E+00
1725454787.6144853 8.6450E-01 1.4082E+00 2.4877E+00 4.0131E+00
1725454787.8271651 8.6452E-01 1.4083E+00 2.4945E+00 4.0147E+00
1725454788.0278995 8.6452E-01 1.4082E+00 2.4922E+00 4.0096E+00
1725454788.2336855 8.6451E-01 1.4082E+00 2.4888E+00 4.0131E+00
1725454788.4409122 8.6451E-01 1.4083E+00 2.4877E+00 4.0164E+00
1725454788.6545715 8.6453E-01 1.4082E+00 2.4899E+00 4.0129E+00
1725454788.8537226 8.6448E-01 1.4082E+00 2.4933E+00 4.0164E+00
1725454789.0520756 8.6453E-01 1.4083E+00 2.4899E+00 4.0079E+00
1725454789.2530668 8.6450E-01 1.4083E+00 2.4922E+00 4.0113E+00
1725454789.453254 8.6455E-01 1.4083E+00 2.4922E+00 4.0129E+00
1725454789.656026 8.6447E-01 1.4082E+00 2.4969E+00 4.0113E+00
1725454789.8590214 8.6447E-01 1.4082E+00 2.4945E+00 4.0113E+00
1725454790.060441 8.6446E-01 1.4082E+00 2.4969E+00 4.0079E+00
1725454790.256639 8.6444E-01 1.4082E+00 2.4899E+00 4.0113E+00
1725454790.4633667 8.6450E-01 1.4082E+00 2.4865E+00 4.0113E+00
1725454790.6660795 8.6450E-01 1.4083E+00 2.4911E+00 4.0062E+00
1725454790.8752983 8.6451E-01 1.4082E+00 2.4945E+00 4.0097E+00
1725454791.0796578 8.6455E-01 1.4082E+00 2.4888E+00 4.0096E+00
1725454791.2897642 8.6455E-01 1.4082E+00 2.4899E+00 4.0079E+00
1725454791.5014055 8.6447E-01 1.4082E+00 2.4933E+00 4.0096E+00
1725454791.7046258 8.6452E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454791.908076 8.6448E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454792.109782 8.6451E-01 1.4083E+00 2.4933E+00 4.0079E+00
