time.time(), c1pp, c2pp
1727776716.3649862, 7.837E+00, 1.988E+01
1727776716.4731698, 7.815E+00, 1.989E+01
1727776716.5826392, 7.824E+00, 1.993E+01
1727776716.6908002, 7.833E+00, 1.988E+01
1727776716.8002818, 7.829E+00, 1.998E+01
1727776716.9086792, 7.815E+00, 1.991E+01
1727776717.0167086, 7.815E+00, 1.994E+01
1727776717.125521, 7.833E+00, 1.990E+01
1727776717.2357686, 7.815E+00, 1.998E+01
1727776717.347872, 7.824E+00, 1.987E+01
1727776717.4565587, 7.815E+00, 1.994E+01
1727776717.5655472, 7.833E+00, 1.995E+01
1727776717.6720953, 7.811E+00, 1.986E+01
1727776717.779325, 7.811E+00, 1.988E+01
1727776717.88687, 7.797E+00, 1.993E+01
1727776717.9947586, 7.815E+00, 1.995E+01
1727776718.1044867, 7.815E+00, 1.994E+01
1727776718.2125802, 7.829E+00, 1.987E+01
1727776718.3206556, 7.824E+00, 1.995E+01
1727776718.431044, 7.819E+00, 1.994E+01
1727776718.5424953, 7.828E+00, 1.993E+01
1727776718.6536386, 7.824E+00, 1.998E+01
1727776718.7615435, 7.815E+00, 1.994E+01
1727776718.8699632, 7.833E+00, 1.988E+01
1727776718.9815214, 7.819E+00, 1.994E+01
1727776719.0905652, 7.829E+00, 1.991E+01
1727776719.2029388, 7.824E+00, 1.996E+01
1727776719.3121116, 7.806E+00, 1.987E+01
1727776719.4220216, 7.815E+00, 1.993E+01
1727776719.5316072, 7.815E+00, 1.988E+01
1727776719.6395848, 7.815E+00, 1.996E+01
1727776719.7484858, 7.819E+00, 1.998E+01
1727776719.855888, 7.846E+00, 1.989E+01
1727776719.976083, 7.815E+00, 1.996E+01
1727776720.0879283, 7.819E+00, 1.988E+01
1727776720.198148, 7.802E+00, 1.988E+01
1727776720.3043778, 7.824E+00, 1.990E+01
1727776720.413829, 7.810E+00, 1.994E+01
1727776720.5218053, 7.806E+00, 1.988E+01
1727776720.6290002, 7.824E+00, 1.994E+01
1727776720.7364345, 7.819E+00, 1.994E+01
1727776720.844005, 7.819E+00, 1.991E+01
1727776720.954504, 7.815E+00, 1.991E+01
1727776721.0641892, 7.829E+00, 1.994E+01
1727776721.1728995, 7.819E+00, 1.987E+01
1727776721.2807314, 7.819E+00, 1.994E+01
1727776721.394853, 7.833E+00, 1.987E+01
1727776721.5021613, 7.802E+00, 1.993E+01
1727776721.610834, 7.837E+00, 1.996E+01
1727776721.7188058, 7.806E+00, 1.995E+01
1727776721.8274398, 7.815E+00, 1.995E+01
1727776721.933827, 7.824E+00, 1.991E+01
1727776722.0403972, 7.806E+00, 1.997E+01
1727776722.1482387, 7.810E+00, 1.989E+01
1727776722.2631564, 7.815E+00, 1.988E+01
1727776722.37105, 7.815E+00, 1.993E+01
1727776722.483456, 7.833E+00, 1.997E+01
1727776722.5915763, 7.819E+00, 1.984E+01
1727776722.7039638, 7.819E+00, 1.993E+01
1727776722.81349, 7.824E+00, 1.997E+01
1727776722.9205282, 7.815E+00, 1.999E+01
1727776723.0294776, 7.824E+00, 1.987E+01
1727776723.138362, 7.811E+00, 1.989E+01
1727776723.2475147, 7.819E+00, 1.995E+01
1727776723.3569677, 7.837E+00, 1.996E+01
1727776723.4661765, 7.824E+00, 1.988E+01
1727776723.5738845, 7.819E+00, 1.995E+01
1727776723.6838303, 7.833E+00, 1.996E+01
1727776723.7930083, 7.824E+00, 1.995E+01
1727776723.9029696, 7.806E+00, 1.993E+01
1727776724.012258, 7.815E+00, 1.995E+01
1727776724.1178787, 7.815E+00, 1.995E+01
1727776724.2270808, 7.824E+00, 1.990E+01
1727776724.3429794, 7.811E+00, 1.993E+01
1727776724.450493, 7.819E+00, 1.991E+01
1727776724.5570273, 7.824E+00, 1.988E+01
1727776724.6651556, 7.815E+00, 1.998E+01
1727776724.7761714, 7.806E+00, 1.994E+01
1727776724.8833532, 7.833E+00, 1.996E+01
1727776724.9928477, 7.815E+00, 1.998E+01
1727776725.0986059, 7.833E+00, 1.998E+01
1727776725.206037, 7.833E+00, 1.998E+01
1727776725.313832, 7.815E+00, 1.989E+01
1727776725.4226017, 7.837E+00, 1.996E+01
1727776725.5301242, 7.824E+00, 1.993E+01
1727776725.6379852, 7.824E+00, 1.991E+01
1727776725.7461946, 7.815E+00, 1.990E+01
1727776725.8540487, 7.815E+00, 1.993E+01
1727776725.9638753, 7.815E+00, 1.993E+01
1727776726.0739212, 7.837E+00, 1.994E+01
1727776726.1809258, 7.815E+00, 1.996E+01
1727776726.290776, 7.819E+00, 1.991E+01
1727776726.4004195, 7.815E+00, 1.987E+01
1727776726.5091004, 7.842E+00, 1.989E+01
1727776726.617711, 7.806E+00, 1.996E+01
1727776726.7251477, 7.815E+00, 1.988E+01
1727776726.8341506, 7.842E+00, 1.997E+01
1727776726.9433541, 7.806E+00, 1.995E+01
1727776727.051044, 7.824E+00, 1.995E+01
1727776727.160146, 7.828E+00, 1.990E+01
1727776727.2675855, 7.819E+00, 1.987E+01
1727776727.3766332, 7.824E+00, 1.991E+01
1727776727.4848576, 7.819E+00, 1.999E+01
1727776727.5928774, 7.829E+00, 1.989E+01
1727776727.7007642, 7.837E+00, 1.988E+01
1727776727.8084178, 7.810E+00, 1.995E+01
1727776727.9199448, 7.824E+00, 1.997E+01
1727776728.0290995, 7.829E+00, 1.993E+01
1727776728.1366897, 7.833E+00, 1.996E+01
1727776728.2461739, 7.829E+00, 1.993E+01
1727776728.3535347, 7.815E+00, 1.986E+01
1727776728.4620564, 7.824E+00, 1.995E+01
1727776728.5710526, 7.842E+00, 1.995E+01
1727776728.6800654, 7.833E+00, 1.990E+01
1727776728.7893057, 7.815E+00, 1.985E+01
1727776728.8976238, 7.819E+00, 1.991E+01
1727776729.006402, 7.837E+00, 1.998E+01
1727776729.1142054, 7.824E+00, 1.989E+01
1727776729.223492, 7.819E+00, 1.988E+01
1727776729.3302188, 7.802E+00, 1.993E+01
1727776729.4429505, 7.824E+00, 1.986E+01
1727776729.5562575, 7.828E+00, 1.999E+01
1727776729.6660805, 7.806E+00, 1.991E+01
1727776729.7758052, 7.815E+00, 1.990E+01
1727776729.8828366, 7.810E+00, 1.990E+01
1727776729.989693, 7.815E+00, 1.993E+01
1727776730.099675, 7.819E+00, 1.993E+01
1727776730.208933, 7.824E+00, 1.991E+01
1727776730.3166928, 7.829E+00, 1.991E+01
1727776730.4288092, 7.829E+00, 1.999E+01
1727776730.5393605, 7.815E+00, 1.999E+01
1727776730.647684, 7.815E+00, 1.997E+01
1727776730.75909, 7.819E+00, 1.994E+01
1727776730.8674915, 7.824E+00, 1.994E+01
1727776730.9745805, 7.842E+00, 1.993E+01
1727776731.0840032, 7.824E+00, 1.990E+01
1727776731.1996682, 7.811E+00, 1.990E+01
1727776731.3067431, 7.833E+00, 1.993E+01
1727776731.4162543, 7.819E+00, 1.998E+01
1727776731.531833, 7.824E+00, 1.995E+01
1727776731.6441243, 7.828E+00, 1.996E+01
1727776731.752334, 7.819E+00, 1.993E+01
1727776731.861165, 7.819E+00, 1.991E+01
1727776731.9690602, 7.824E+00, 1.988E+01
1727776732.0810463, 7.815E+00, 1.990E+01
1727776732.1903877, 7.815E+00, 1.995E+01
1727776732.3051155, 7.828E+00, 1.996E+01
1727776732.4178932, 7.833E+00, 1.991E+01
1727776732.5286777, 7.833E+00, 1.994E+01
1727776732.638141, 7.824E+00, 1.991E+01
1727776732.745501, 7.819E+00, 1.984E+01
1727776732.8570735, 7.802E+00, 1.996E+01
1727776732.9665194, 7.806E+00, 1.993E+01
1727776733.07397, 7.837E+00, 1.989E+01
1727776733.183814, 7.811E+00, 1.990E+01
1727776733.2924876, 7.824E+00, 1.996E+01
1727776733.402733, 7.811E+00, 1.989E+01
1727776733.511203, 7.828E+00, 1.993E+01
1727776733.6197336, 7.806E+00, 1.999E+01
1727776733.728927, 7.806E+00, 1.993E+01
1727776733.8371754, 7.833E+00, 1.991E+01
1727776733.9450674, 7.806E+00, 1.997E+01
1727776734.053968, 7.824E+00, 1.994E+01
