time.time(), c1pp, c2pp, c1rms, c2rms
1727853872.9327235, 2.033E+00, 2.003E+01, 6.901E-01, 6.985E+00 
1727853873.0450516, 2.024E+00, 2.005E+01, 6.897E-01, 6.983E+00 
1727853873.1620479, 2.019E+00, 2.007E+01, 6.901E-01, 6.984E+00 
1727853873.2763474, 2.032E+00, 2.006E+01, 6.898E-01, 6.983E+00 
1727853873.3923187, 2.032E+00, 2.001E+01, 6.899E-01, 6.984E+00 
1727853873.5055602, 2.025E+00, 2.007E+01, 6.899E-01, 6.984E+00 
1727853873.6245377, 2.025E+00, 2.008E+01, 6.899E-01, 6.986E+00 
1727853873.7430115, 2.035E+00, 2.005E+01, 6.898E-01, 6.984E+00 
1727853873.8563552, 2.037E+00, 2.004E+01, 6.897E-01, 6.984E+00 
1727853873.9764047, 2.023E+00, 2.004E+01, 6.901E-01, 6.985E+00 
1727853874.0892737, 2.024E+00, 1.999E+01, 6.900E-01, 6.983E+00 
1727853874.2135766, 2.032E+00, 2.004E+01, 6.898E-01, 6.984E+00 
1727853874.3303437, 2.029E+00, 2.004E+01, 6.899E-01, 6.984E+00 
1727853874.4446993, 2.032E+00, 2.006E+01, 6.898E-01, 6.985E+00 
1727853874.5677242, 2.031E+00, 2.001E+01, 6.901E-01, 6.985E+00 
1727853874.682893, 2.032E+00, 2.001E+01, 6.898E-01, 6.985E+00 
1727853874.7990172, 2.024E+00, 2.005E+01, 6.900E-01, 6.984E+00 
1727853874.9131095, 2.030E+00, 2.002E+01, 6.899E-01, 6.986E+00 
1727853875.0257967, 2.031E+00, 2.001E+01, 6.900E-01, 6.986E+00 
1727853875.1481428, 2.030E+00, 2.004E+01, 6.900E-01, 6.985E+00 
1727853875.266949, 2.035E+00, 2.003E+01, 6.898E-01, 6.983E+00 
1727853875.3811314, 2.029E+00, 2.000E+01, 6.898E-01, 6.984E+00 
1727853875.4941232, 2.033E+00, 2.001E+01, 6.898E-01, 6.983E+00 
1727853875.6229348, 2.029E+00, 2.001E+01, 6.899E-01, 6.985E+00 
1727853875.7355318, 2.029E+00, 2.001E+01, 6.899E-01, 6.983E+00 
1727853875.8589933, 2.025E+00, 2.001E+01, 6.900E-01, 6.985E+00 
1727853875.976918, 2.023E+00, 2.005E+01, 6.898E-01, 6.984E+00 
1727853876.0935621, 2.031E+00, 2.005E+01, 6.899E-01, 6.985E+00 
1727853876.2080622, 2.027E+00, 2.004E+01, 6.899E-01, 6.983E+00 
1727853876.3231292, 2.028E+00, 2.008E+01, 6.898E-01, 6.984E+00 
1727853876.4449804, 2.020E+00, 2.002E+01, 6.898E-01, 6.984E+00 
1727853876.5636957, 2.033E+00, 2.003E+01, 6.898E-01, 6.986E+00 
1727853876.6845973, 2.031E+00, 2.001E+01, 6.899E-01, 6.985E+00 
1727853876.807834, 2.020E+00, 2.002E+01, 6.897E-01, 6.983E+00 
1727853876.9255128, 2.031E+00, 2.005E+01, 6.897E-01, 6.984E+00 
1727853877.04773, 2.035E+00, 2.006E+01, 6.896E-01, 6.984E+00 
1727853877.1650734, 2.023E+00, 2.001E+01, 6.899E-01, 6.985E+00 
1727853877.2788324, 2.028E+00, 2.004E+01, 6.898E-01, 6.985E+00 
1727853877.3975108, 2.027E+00, 2.001E+01, 6.898E-01, 6.985E+00 
1727853877.5187325, 2.032E+00, 2.008E+01, 6.897E-01, 6.984E+00 
1727853877.6409938, 2.026E+00, 2.000E+01, 6.898E-01, 6.984E+00 
1727853877.7551582, 2.038E+00, 2.004E+01, 6.897E-01, 6.983E+00 
1727853877.883258, 2.036E+00, 2.001E+01, 6.901E-01, 6.984E+00 
1727853877.9984004, 2.035E+00, 2.004E+01, 6.897E-01, 6.984E+00 
1727853878.1169755, 2.024E+00, 2.001E+01, 6.899E-01, 6.985E+00 
1727853878.231839, 2.027E+00, 2.004E+01, 6.898E-01, 6.985E+00 
