time.time(), c1pp, c2pp, c1rms, c2rms
1727862775.8004808, 1.543E+01, 1.989E+01, 5.415E+00, 6.934E+00 
1727862775.9142046, 1.544E+01, 1.994E+01, 5.415E+00, 6.932E+00 
1727862776.0304768, 1.543E+01, 1.990E+01, 5.414E+00, 6.936E+00 
1727862776.150657, 1.543E+01, 1.996E+01, 5.414E+00, 6.934E+00 
1727862776.2626584, 1.544E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862776.3773217, 1.543E+01, 1.991E+01, 5.414E+00, 6.934E+00 
1727862776.4900475, 1.543E+01, 1.995E+01, 5.415E+00, 6.934E+00 
1727862776.6046467, 1.544E+01, 1.997E+01, 5.414E+00, 6.935E+00 
1727862776.7252855, 1.542E+01, 1.990E+01, 5.415E+00, 6.932E+00 
1727862776.8404498, 1.543E+01, 1.993E+01, 5.415E+00, 6.936E+00 
1727862776.9523113, 1.545E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862777.064096, 1.545E+01, 1.991E+01, 5.415E+00, 6.937E+00 
1727862777.1813188, 1.544E+01, 1.993E+01, 5.414E+00, 6.935E+00 
1727862777.3006673, 1.542E+01, 1.990E+01, 5.415E+00, 6.935E+00 
1727862777.4128907, 1.544E+01, 1.990E+01, 5.415E+00, 6.936E+00 
1727862777.534847, 1.542E+01, 1.995E+01, 5.414E+00, 6.935E+00 
1727862777.6517532, 1.542E+01, 1.989E+01, 5.415E+00, 6.936E+00 
1727862777.7627177, 1.545E+01, 1.991E+01, 5.415E+00, 6.933E+00 
1727862777.8761322, 1.544E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862777.9896948, 1.543E+01, 1.994E+01, 5.414E+00, 6.937E+00 
1727862778.1016057, 1.542E+01, 1.996E+01, 5.414E+00, 6.935E+00 
1727862778.213312, 1.544E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862778.3301456, 1.543E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862778.4443579, 1.543E+01, 1.994E+01, 5.415E+00, 6.935E+00 
1727862778.55924, 1.542E+01, 1.993E+01, 5.415E+00, 6.935E+00 
1727862778.6754286, 1.542E+01, 1.989E+01, 5.414E+00, 6.936E+00 
1727862778.7873807, 1.542E+01, 1.991E+01, 5.415E+00, 6.935E+00 
1727862778.9019773, 1.542E+01, 1.993E+01, 5.415E+00, 6.933E+00 
1727862779.0165727, 1.544E+01, 1.989E+01, 5.415E+00, 6.933E+00 
1727862779.1288116, 1.542E+01, 1.991E+01, 5.415E+00, 6.936E+00 
1727862779.244405, 1.542E+01, 1.994E+01, 5.415E+00, 6.933E+00 
1727862779.3640802, 1.542E+01, 1.993E+01, 5.414E+00, 6.936E+00 
1727862779.4773147, 1.543E+01, 1.995E+01, 5.415E+00, 6.934E+00 
1727862779.5943122, 1.543E+01, 1.994E+01, 5.415E+00, 6.935E+00 
1727862779.706502, 1.544E+01, 1.991E+01, 5.415E+00, 6.936E+00 
1727862779.8281977, 1.543E+01, 1.994E+01, 5.415E+00, 6.935E+00 
