0;-26.3
0.2;-131.5
0.4;-233
0.6;-336.5
0.8;-443.8
1;-549.5
1.2;-650.3
1.4;-756.8
1.6;-864.4
1.8;-961.3
2;-1075
2.2;-1177
2.4;-1286
2.6;-1386
2.8;-1490
3;-1596
3.2;-1700
3.4;-1807
3.6;-1913
3.8;-2018
4;-2123
4.2;-2230
4.4;-2333
4.6;-2438
4.8;-2535
