Resto format 1
Doc: "ToF_28_02_2025_Looking_Nice.setup"
Upload time: 28/2-2025 15:27
Description: ""
Sequence: "Free selection"
ClusterName	SurName	Datatype	Value	Valid	Timestamp
CRIO106TIM03qopt	Delay2S	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	delay2Scaled	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	DelayMs	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	delayNsLim	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	DelayS	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	delayScaled	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	pulses	10	1	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	pulses2	10	1	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	trig	1	128	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	trigR	1	128	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	width	12	200000	1	'26/02-25 15:19:19/'
CRIO106TIM03qopt	width2	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	ctrl	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	ctrlR	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	delay	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	delay2	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	Delay2Ms	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	delay2NsLim	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	Delay2S	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	delay2Scaled	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	DelayMs	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	delayNsLim	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	DelayS	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	delayScaled	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	pulses	10	1	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	width	12	200000	1	'26/02-25 15:19:19/'
CRIO106TIM04qopt	width2	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	ctrl	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	ctrlR	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	delay	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	delay2	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	Delay2Ms	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	delay2NsLim	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	Delay2S	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	delay2Scaled	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	DelayMs	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	delayNsLim	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	DelayS	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	delayScaled	12	198000000	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	pulses	10	1	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	width	12	200000	1	'26/02-25 15:19:19/'
CRIO106TIM05qopt	width2	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	ctrl	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	ctrlR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	delay	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	delay2	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	Delay2Ms	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	delay2NsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	Delay2S	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	delay2Scaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	DelayMs	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	delayNsLim	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	DelayS	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	delayScaled	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	pulses	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	width	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM06qopt	width2	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	arm	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	armR	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	ctrl	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	ctrlR	1	1	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	delay	12	45249000	1	'28/02-25 15:17:04/'
CRIO106TIM07qopt	delay2	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	Delay2Ms	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	delay2NsLim	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	Delay2S	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	delay2Scaled	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	DelayMs	12	45249000	1	'28/02-25 15:17:04/'
CRIO106TIM07qopt	delayNsLim	12	45249000	1	'28/02-25 15:17:04/'
CRIO106TIM07qopt	DelayS	12	45249000	1	'28/02-25 15:17:04/'
CRIO106TIM07qopt	delayScaled	12	45249000	1	'28/02-25 15:17:04/'
CRIO106TIM07qopt	pulses	10	1	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	trig	1	128	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	trigR	1	128	1	'26/02-25 15:19:19/'
CRIO106TIM07qopt	width	12	200	1	'26/02-25 15:49:44/'
CRIO106TIM07qopt	width2	12	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	ctrl	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	ctrlR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	delay	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	delay2	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	Delay2Ms	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	delay2NsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	Delay2S	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	delay2Scaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	DelayMs	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	delayNsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	DelayS	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	delayScaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	pulses	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	width	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM08qopt	width2	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	ctrl	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	ctrlR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	delay	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	delay2	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	Delay2Ms	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	delay2NsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	Delay2S	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	delay2Scaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	DelayMs	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	delayNsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	DelayS	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	delayScaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	pulses	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	width	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM09qopt	width2	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	ctrl	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	ctrlR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	delay	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	delay2	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	Delay2Ms	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	delay2NsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	Delay2S	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	delay2Scaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	DelayMs	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	delayNsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	DelayS	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	delayScaled	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	pulses	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	pulses2	10	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	trig	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	trigR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	width	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM10qopt	width2	12	1	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	arm	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	armR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	ctrl	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	ctrlR	1	0	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	delay	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	delay2	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	Delay2Ms	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	delay2NsLim	12	10000	1	'26/02-25 15:19:19/'
CRIO106TIM11qopt	Delay2S	12	10000	1	'26/02-25 15:19:19/'
