countA, countB, T
300,29, 1.0914578437805176
300,16, 2.18376088142395
300,34, 3.27827525138855
300,28, 4.372236013412476
300,24, 5.467151165008545
300,15, 6.5594377517700195
300,25, 7.652999401092529
300,17, 8.747142314910889
300,20, 9.83990478515625
300,13, 10.930304288864136
301,19, 12.024262428283691
300,29, 13.117321014404297
300,34, 14.209176778793335
300,13, 15.3056480884552
300,28, 16.394999265670776
300,26, 17.488285779953003
300,14, 18.57803702354431
300,28, 19.66792869567871
301,29, 20.76098322868347
301,22, 21.855974197387695
300,28, 22.946025133132935
300,24, 24.037742137908936
300,24, 25.129364728927612
300,17, 26.21828317642212
300,21, 27.308200120925903
300,19, 28.400052547454834
300,28, 29.490009546279907
301,29, 30.587703943252563
301,30, 31.681751251220703
300,19, 32.77522325515747
300,25, 33.8653609752655
300,29, 34.954410791397095
300,18, 36.04175114631653
300,24, 37.13872694969177
300,17, 38.23187589645386
300,27, 39.31838583946228
301,23, 40.405911922454834
300,28, 41.49562478065491
300,20, 42.58316230773926
300,29, 43.680976152420044
300,16, 44.76558589935303
300,19, 45.860198974609375
300,22, 46.958739042282104
300,31, 48.04416465759277
301,29, 49.141634941101074
301,26, 50.23781752586365
300,27, 51.335225343704224
300,15, 52.422767639160156
300,25, 53.51537299156189
300,22, 54.60646605491638
300,20, 55.70159077644348
300,17, 56.787768840789795
300,27, 57.88350057601929
300,28, 58.97689652442932
300,19, 60.07324147224426
300,19, 61.15794539451599
300,18, 62.25903511047363
300,25, 63.354167461395264
300,22, 64.44115328788757
300,28, 65.53602528572083
300,19, 66.62315464019775
300,25, 67.71221113204956
300,24, 68.8049967288971
301,27, 69.90507292747498
301,25, 70.99814224243164
300,24, 72.08508467674255
300,17, 73.18149876594543
300,35, 74.27205920219421
300,26, 75.36060571670532
300,39, 76.45208144187927
300,28, 77.54931950569153
300,16, 78.64474058151245
301,21, 79.7315583229065
300,30, 80.81621813774109
300,17, 81.91057419776917
300,27, 83.00014400482178
300,23, 84.08751845359802
300,32, 85.183762550354
300,25, 86.27187585830688
300,30, 87.37154531478882
300,28, 88.47067785263062
301,21, 89.5706799030304
300,26, 90.66529035568237
300,19, 91.7596218585968
300,22, 92.85834169387817
300,31, 93.95336580276489
300,30, 95.03952884674072
310,23, 96.13641786575317
300,19, 97.2331063747406
300,24, 98.32716679573059
301,21, 99.42606568336487
300,23, 100.52447867393494
300,29, 101.61916255950928
300,27, 102.71522283554077
300,30, 103.80887866020203
300,23, 104.9066834449768
300,26, 106.00319647789001
300,13, 107.09220671653748
300,23, 108.18771481513977
301,17, 109.28829979896545
300,26, 110.37451887130737
300,15, 111.46941304206848
300,26, 112.56883025169373
300,25, 113.65863513946533
300,19, 114.75418591499329
300,31, 115.84478092193604
300,23, 116.9327323436737
300,23, 118.02026700973511
300,27, 119.10788440704346
300,19, 120.20704984664917
300,23, 121.30046129226685
300,26, 122.39787101745605
300,26, 123.4976634979248
300,32, 124.59539866447449
300,23, 125.68011260032654
300,21, 126.77197360992432
300,19, 127.86256241798401
300,30, 128.95814299583435
301,19, 130.05263352394104
300,27, 131.1439983844757
300,28, 132.2304425239563
300,15, 133.32877445220947
300,29, 134.4276785850525
300,16, 135.52201294898987
300,24, 136.61962985992432
300,25, 137.71440434455872
300,21, 138.81176781654358
301,25, 139.90896010398865
300,25, 141.0041389465332
300,29, 142.09655332565308
300,25, 143.18037056922913
300,28, 144.278559923172
300,21, 145.37517666816711
300,18, 146.46802186965942
300,24, 147.55947542190552
300,30, 148.65925431251526
301,17, 149.75799989700317
300,22, 150.8529908657074
300,29, 151.94746112823486
300,21, 153.0458722114563
300,25, 154.1425075531006
300,26, 155.24116158485413
300,18, 156.33532118797302
300,15, 157.42055416107178
301,21, 158.51626443862915
301,24, 159.61159658432007
300,20, 160.70731043815613
300,19, 161.80537581443787
300,33, 162.89806532859802
300,17, 163.99739289283752
300,25, 165.09347081184387
300,22, 166.19139575958252
300,31, 167.28662371635437
301,23, 168.37795448303223
300,22, 169.46955466270447
300,27, 170.56987929344177
300,30, 171.6645634174347
300,21, 172.76046895980835
300,20, 173.85539841651917
300,25, 174.9529733657837
300,18, 176.05044078826904
301,29, 177.14320611953735
301,25, 178.2418713569641
300,21, 179.32662796974182
300,25, 180.41160917282104
300,21, 181.5101273059845
300,20, 182.60606241226196
300,21, 183.70167660713196
300,19, 184.79727172851562
300,17, 185.89352440834045
300,16, 186.98803877830505
301,20, 188.0840084552765
300,16, 189.18309020996094
300,27, 190.27842712402344
300,15, 191.37615156173706
300,22, 192.47407817840576
300,29, 193.57192492485046
300,20, 194.66879224777222
300,23, 195.76733946800232
300,29, 196.86658358573914
301,21, 197.95059943199158
300,22, 199.0465428829193
300,28, 200.14483308792114
300,28, 201.24120903015137
300,23, 202.3341248035431
300,28, 203.43344235420227
300,22, 204.5319619178772
300,26, 205.63161993026733
300,28, 206.72654271125793
301,33, 207.82455253601074
300,20, 208.9227991104126
300,32, 210.01833415031433
300,21, 211.11490392684937
300,25, 212.21075415611267
300,19, 213.30526733398438
300,27, 214.4028639793396
300,18, 215.488915681839
300,26, 216.58377242088318
301,25, 217.67947268486023
300,20, 218.77652883529663
300,14, 219.87239050865173
300,32, 220.95902061462402
300,20, 222.05579257011414
300,27, 223.14999890327454
300,26, 224.2479705810547
300,29, 225.34578108787537
301,16, 226.4444236755371
300,21, 227.5421679019928
300,27, 228.64029383659363
300,31, 229.73552012443542
300,20, 230.8292806148529
300,23, 231.92560601234436
300,27, 233.01276350021362
300,27, 234.11027121543884
300,32, 235.2077395915985
301,22, 236.30106830596924
300,18, 237.39661264419556
300,27, 238.4940800666809
300,35, 239.59156227111816
300,25, 240.68042516708374
300,23, 241.77491879463196
300,35, 242.87037134170532
300,24, 243.96883535385132
300,21, 245.05913734436035
301,15, 246.152250289917
300,23, 247.2468285560608
300,25, 248.33396434783936
300,25, 249.4303195476532
300,39, 250.5266034603119
300,27, 251.6247820854187
300,21, 252.72093391418457
300,25, 253.8207938671112
300,16, 254.92021942138672
301,21, 256.018767118454
301,26, 257.1127486228943
300,20, 258.2118833065033
300,20, 259.30029010772705
300,34, 260.39118552207947
300,17, 261.48341512680054
300,30, 262.57313799858093
300,21, 263.668799161911
300,23, 264.76878929138184
301,27, 265.8652241230011
301,20, 266.96191000938416
300,17, 268.05765676498413
300,24, 269.15678310394287
300,18, 270.2565562725067
300,27, 271.35330963134766
300,23, 272.4389522075653
300,18, 273.53385162353516
300,32, 274.62717843055725
301,31, 275.72079253196716
301,24, 276.8150677680969
300,28, 277.9096176624298
300,25, 279.005980014801
300,27, 280.0901322364807
300,22, 281.1862847805023
300,25, 282.2814886569977
300,24, 283.37494587898254
300,31, 284.4745976924896
301,15, 285.5685992240906
300,30, 286.6621034145355
300,16, 287.7591907978058
300,27, 288.8536288738251
300,17, 289.93866324424744
300,21, 291.0326728820801
300,26, 292.1300392150879
300,24, 293.2261629104614
300,23, 294.3269007205963
301,27, 295.4130051136017
300,30, 296.50974893569946
300,24, 297.6060037612915
300,22, 298.7013416290283
300,25, 299.78613114356995
300,19, 300.880215883255
300,25, 301.9800102710724
300,20, 303.066130399704
300,21, 304.1541211605072
301,27, 305.25245928764343
300,25, 306.348521232605
300,30, 307.4340670108795
300,21, 308.53195333480835
300,29, 309.6298475265503
300,21, 310.72409772872925
300,15, 311.82067012786865
300,23, 312.9201064109802
300,28, 314.0152487754822
300,32, 315.1069583892822
300,23, 316.1943085193634
300,22, 317.29408955574036
300,20, 318.3898046016693
300,27, 319.48988676071167
300,22, 320.57771921157837
300,30, 321.6651027202606
300,30, 322.75994753837585
300,20, 323.85709619522095
300,17, 324.9483907222748
301,22, 326.04386830329895
300,33, 327.1381983757019
300,19, 328.2360644340515
300,18, 329.32954001426697
300,24, 330.4248752593994
300,22, 331.523334980011
300,31, 332.6188163757324
300,25, 333.7131624221802
300,21, 334.8048665523529
301,21, 335.9015438556671
301,29, 336.9964156150818
300,20, 338.09419465065
300,19, 339.1937508583069
300,20, 340.29112434387207
300,28, 341.38848090171814
300,16, 342.4841809272766
300,29, 343.5804007053375
300,19, 344.675390958786
301,22, 345.77406001091003
300,25, 346.8696928024292
300,24, 347.9672145843506
300,27, 349.0655097961426
300,31, 350.15232133865356
300,20, 351.2478721141815
300,23, 352.3415675163269
300,24, 353.43706941604614
300,11, 354.52923917770386
301,23, 355.62314319610596
300,25, 356.7148356437683
300,30, 357.80744338035583
300,22, 358.9039545059204
300,28, 359.99600052833557
300,24, 361.09296584129333
300,36, 362.19022369384766
300,28, 363.2887954711914
300,19, 364.3843801021576
301,21, 365.47020292282104
300,25, 366.56959557533264
300,26, 367.66545486450195
300,19, 368.76150846481323
300,25, 369.86062240600586
300,34, 370.9568192958832
300,23, 372.0579640865326
300,18, 373.1546416282654
300,20, 374.2492413520813
301,13, 375.341561794281
300,24, 376.4346492290497
300,31, 377.53267908096313
300,25, 378.624361038208
300,23, 379.71657514572144
300,19, 380.8101522922516
300,16, 381.90802359580994
300,25, 383.00546860694885
300,22, 384.0935537815094
301,18, 385.19078731536865
300,26, 386.289425611496
300,26, 387.38298296928406
300,33, 388.47421956062317
300,30, 389.5687561035156
300,26, 390.6622664928436
300,23, 391.7516345977783
300,32, 392.84933400154114
300,24, 393.94166803359985
301,23, 395.04193472862244
300,27, 396.13286423683167
300,24, 397.229243516922
300,20, 398.3236265182495
300,19, 399.4084358215332
300,20, 400.50514101982117
300,21, 401.5996105670929
300,23, 402.6978783607483
300,22, 403.78322291374207
301,23, 404.8795130252838
300,23, 405.978476524353
300,29, 407.0734369754791
300,16, 408.1674294471741
300,25, 409.26366329193115
300,21, 410.36224842071533
300,23, 411.4569847583771
300,25, 412.54857110977173
300,21, 413.6392545700073
301,31, 414.73266220092773
300,22, 415.8251302242279
300,28, 416.91989517211914
300,26, 418.0198736190796
300,34, 419.1153516769409
300,25, 420.2090322971344
300,30, 421.30357813835144
300,31, 422.3986303806305
300,28, 423.4976735115051
301,18, 424.5824704170227
300,27, 425.66996121406555
300,24, 426.7635107040405
300,25, 427.859925031662
300,28, 428.9577112197876
300,31, 430.0565903186798
300,23, 431.1497187614441
300,25, 432.2484402656555
301,20, 433.34698033332825
