countA, countB, T
300,43, 1.1013484001159668
300,43, 2.1919877529144287
301,33, 3.2869741916656494
301,54, 4.3789074420928955
300,45, 5.468417406082153
300,31, 6.560885667800903
300,36, 7.648195266723633
300,50, 8.742143154144287
300,51, 9.839468717575073
300,36, 10.932842493057251
300,39, 12.02681279182434
301,44, 13.120864629745483
300,47, 14.20970606803894
300,41, 15.309223413467407
300,40, 16.401885509490967
300,37, 17.49350643157959
300,34, 18.590690851211548
300,35, 19.681886672973633
300,44, 20.774880170822144
301,48, 21.86559557914734
300,45, 22.957441568374634
300,47, 24.049509048461914
300,45, 25.139710187911987
300,45, 26.22667670249939
300,41, 27.319183349609375
300,35, 28.41098427772522
300,45, 29.5082266330719
300,41, 30.600810050964355
300,40, 31.700461864471436
300,47, 32.788936138153076
300,40, 33.88998508453369
300,45, 34.986302852630615
300,40, 36.07880139350891
300,45, 37.169883251190186
300,40, 38.25744891166687
300,39, 39.349257707595825
300,38, 40.44106888771057
301,40, 41.53330898284912
301,37, 42.624807357788086
300,45, 43.717467308044434
300,48, 44.80947709083557
300,44, 45.90057921409607
300,36, 46.99026155471802
300,55, 48.081743001937866
300,34, 49.176127433776855
300,39, 50.26777672767639
301,35, 51.361846685409546
300,34, 52.4530611038208
300,38, 53.54493498802185
300,35, 54.636451721191406
300,42, 55.72926878929138
300,41, 56.82257032394409
300,44, 57.91205835342407
300,58, 59.00450134277344
301,52, 60.09708833694458
301,39, 61.19093203544617
300,39, 62.28258919715881
300,36, 63.37591242790222
300,42, 64.47063088417053
300,43, 65.56657600402832
300,44, 66.6586184501648
300,41, 67.74860501289368
300,44, 68.84282851219177
301,42, 69.94051027297974
301,46, 71.0350558757782
300,42, 72.12594890594482
300,43, 73.2206358909607
300,40, 74.3134388923645
300,43, 75.40624976158142
300,36, 76.50029754638672
300,35, 77.5970106124878
300,45, 78.68948578834534
301,38, 79.78122568130493
300,35, 80.87339186668396
300,34, 81.9687271118164
300,46, 83.06115627288818
300,51, 84.15845823287964
300,44, 85.25112175941467
300,42, 86.34434366226196
300,47, 87.43710613250732
300,45, 88.5325345993042
300,43, 89.62536382675171
301,41, 90.71766495704651
300,39, 91.8126175403595
300,45, 92.90347075462341
300,44, 93.9971330165863
300,42, 95.08906841278076
300,39, 96.18285703659058
300,38, 97.27428412437439
300,41, 98.36834001541138
301,40, 99.46006155014038
301,36, 100.55165529251099
300,38, 101.64424633979797
300,47, 102.73952388763428
300,39, 103.8321168422699
300,45, 104.92569637298584
300,38, 106.02191066741943
300,39, 107.11398577690125
300,38, 108.20871329307556
301,40, 109.30297565460205
300,41, 110.39892864227295
300,41, 111.49005699157715
300,40, 112.58322501182556
300,42, 113.67676091194153
300,40, 114.77028250694275
300,49, 115.86384916305542
300,48, 116.95872592926025
301,41, 118.05417990684509
301,38, 119.14537191390991
300,39, 120.23837089538574
300,45, 121.3321762084961
300,46, 122.42492389678955
300,38, 123.51718854904175
300,43, 124.60989713668823
300,33, 125.70104241371155
300,44, 126.79462337493896
301,50, 127.8876268863678
300,40, 128.98268508911133
300,36, 130.07359266281128
300,43, 131.16774010658264
300,43, 132.26659417152405
300,43, 133.3583128452301
300,43, 134.45364618301392
300,48, 135.5465338230133
300,35, 136.6396243572235
301,50, 137.73622345924377
300,43, 138.8301227092743
300,40, 139.92168951034546
300,56, 141.014262676239
300,53, 142.1069438457489
300,45, 143.19936990737915
300,51, 144.29376196861267
300,36, 145.3900179862976
300,43, 146.48416423797607
301,53, 147.58183479309082
300,40, 148.6745593547821
300,38, 149.7657914161682
300,37, 150.85947823524475
300,40, 151.95280051231384
300,45, 153.0464358329773
300,54, 154.14134979248047
300,45, 155.23310828208923
301,39, 156.32483291625977
300,49, 157.41812014579773
300,40, 158.51188373565674
300,46, 159.60792326927185
300,49, 160.69994688034058
300,36, 161.80035138130188
300,37, 162.89253115653992
300,39, 163.98638653755188
300,43, 165.0769031047821
301,43, 166.17067050933838
300,43, 167.26645755767822
300,44, 168.3602683544159
300,42, 169.45492911338806
300,32, 170.54847288131714
300,51, 171.64197063446045
300,44, 172.73370909690857
300,44, 173.82636165618896
300,41, 174.92168855667114
301,45, 176.01517009735107
300,43, 177.10669255256653
300,42, 178.20046496391296
300,41, 179.29281449317932
300,45, 180.3854296207428
300,39, 181.47920179367065
300,38, 182.57512211799622
300,42, 183.67031335830688
301,45, 184.763041973114
301,38, 185.85459756851196
300,47, 186.9492130279541
300,38, 188.03637075424194
300,46, 189.12989377975464
300,44, 190.2236602306366
300,38, 191.31689310073853
300,42, 192.41105222702026
300,46, 193.50468516349792
300,41, 194.5970060825348
301,40, 195.6910629272461
300,50, 196.7849223613739
300,45, 197.87877869606018
300,52, 198.9706530570984
300,56, 200.06322717666626
300,40, 201.15463781356812
300,42, 202.24531650543213
300,44, 203.3381073474884
300,49, 204.43204355239868
301,33, 205.52764868736267
300,42, 206.62009692192078
300,43, 207.71155452728271
300,43, 208.80515885353088
300,50, 209.90215182304382
300,48, 210.9959011077881
300,39, 212.08975505828857
300,57, 213.1846444606781
300,47, 214.2793357372284
301,42, 215.37308311462402
300,45, 216.4656116962433
300,52, 217.55804252624512
300,42, 218.65209770202637
300,43, 219.74431896209717
300,47, 220.83897614479065
300,45, 221.93232703208923
300,50, 223.02814388275146
301,41, 224.12162160873413
300,57, 225.21876120567322
300,38, 226.31409692764282
300,40, 227.4060938358307
300,51, 228.49696373939514
300,47, 229.59182715415955
300,39, 230.68615698814392
300,48, 231.7800509929657
301,41, 232.87420916557312
300,37, 233.96597242355347
300,33, 235.05848217010498
300,41, 236.14936685562134
300,31, 237.2428538799286
300,44, 238.3363118171692
300,38, 239.42871403694153
300,44, 240.5212893486023
300,42, 241.61407041549683
301,49, 242.7055435180664
300,42, 243.79831337928772
300,36, 244.88846015930176
300,48, 245.9842300415039
300,45, 247.07843208312988
300,41, 248.17154717445374
300,45, 249.26659178733826
300,34, 250.36064267158508
300,34, 251.45257759094238
301,37, 252.54555201530457
300,44, 253.6405577659607
300,47, 254.73414254188538
300,31, 255.82700490951538
300,46, 256.9206142425537
300,37, 258.0135362148285
300,40, 259.1104807853699
300,41, 260.2043123245239
301,35, 261.29600977897644
300,52, 262.38994908332825
300,37, 263.4856848716736
300,44, 264.5796730518341
300,44, 265.6731011867523
300,39, 266.76702761650085
300,47, 267.8614490032196
300,38, 268.9556908607483
300,43, 270.048378944397
301,34, 271.1418867111206
300,39, 272.2344717979431
300,39, 273.3270285129547
300,32, 274.4184274673462
300,48, 275.51108050346375
300,57, 276.60509848594666
300,51, 277.69694209098816
300,42, 278.79499864578247
300,51, 279.89007568359375
301,50, 280.98084902763367
300,37, 282.07596135139465
300,40, 283.17251539230347
300,40, 284.264940738678
300,35, 285.3568630218506
300,51, 286.4506196975708
300,47, 287.5466613769531
300,46, 288.6403982639313
300,44, 289.733047246933
300,31, 290.8310673236847
300,52, 291.9233491420746
300,44, 293.01768350601196
300,30, 294.11042189598083
300,44, 295.20629024505615
300,37, 296.2982060909271
300,49, 297.39001083374023
300,38, 298.48498916625977
300,46, 299.57956171035767
301,48, 300.6730225086212
300,43, 301.76407122612
300,44, 302.85804438591003
300,50, 303.9504818916321
300,40, 305.04505491256714
300,33, 306.14378571510315
300,40, 307.234126329422
300,38, 308.3266062736511
300,37, 309.41927099227905
301,40, 310.5124578475952
300,40, 311.6049928665161
300,36, 312.69960618019104
300,43, 313.7923755645752
300,39, 314.8862340450287
300,37, 315.98563146591187
300,43, 317.0791263580322
300,41, 318.17102813720703
300,45, 319.2646667957306
301,40, 320.35531091690063
300,44, 321.4478919506073
300,33, 322.54199051856995
300,38, 323.6329245567322
300,45, 324.7319107055664
300,49, 325.82358622550964
300,48, 326.9158282279968
300,36, 328.00725197792053
301,44, 329.10083293914795
300,42, 330.19252920150757
300,35, 331.2868161201477
300,45, 332.379367351532
300,50, 333.47097873687744
300,35, 334.562628030777
300,40, 335.65554094314575
300,49, 336.74769949913025
301,43, 337.84230756759644
300,40, 338.93686270713806
300,33, 340.03089141845703
300,38, 341.1258714199066
300,50, 342.2191870212555
300,38, 343.3120651245117
300,41, 344.4045956134796
300,57, 345.49747800827026
300,48, 346.58998441696167
300,44, 347.68567395210266
300,44, 348.77858090400696
300,47, 349.86924052238464
300,41, 350.9635136127472
300,42, 352.05613899230957
300,45, 353.15078806877136
300,50, 354.2445955276489
300,45, 355.3375062942505
300,49, 356.4343502521515
301,43, 357.5269193649292
301,47, 358.6237187385559
300,43, 359.71625876426697
300,39, 360.81036615371704
300,42, 361.90465092658997
300,51, 363.0000162124634
300,31, 364.0942051410675
300,46, 365.1877064704895
300,39, 366.2815957069397
301,47, 367.37432646751404
300,53, 368.46945118904114
300,43, 369.5610320568085
300,56, 370.65493059158325
300,58, 371.75002121925354
300,39, 372.84196186065674
300,34, 373.9359464645386
300,30, 375.0306191444397
301,49, 376.1224720478058
301,50, 377.2194027900696
300,49, 378.3122320175171
300,29, 379.4067585468292
300,41, 380.4984836578369
300,51, 381.58920669555664
300,37, 382.680855512619
300,43, 383.7741014957428
301,52, 384.8654844760895
301,37, 385.96326518058777
300,60, 387.0557813644409
300,38, 388.147376537323
300,38, 389.24037742614746
300,52, 390.3331959247589
300,48, 391.42498230934143
300,44, 392.52006483078003
300,48, 393.61247730255127
300,44, 394.7074019908905
300,37, 395.8041341304779
300,39, 396.8980858325958
300,42, 397.99080443382263
300,43, 399.0845663547516
300,51, 400.17733359336853
300,42, 401.27059268951416
300,40, 402.3642797470093
300,36, 403.4555413722992
301,43, 404.54976320266724
301,52, 405.6413311958313
300,40, 406.73439836502075
300,39, 407.8294563293457
300,36, 408.9211320877075
300,31, 410.0156440734863
300,45, 411.1073660850525
300,42, 412.1974995136261
300,37, 413.29020285606384
301,37, 414.38181924819946
300,38, 415.47501730918884
300,35, 416.5702452659607
300,31, 417.66196632385254
300,42, 418.75545144081116
300,33, 419.84868836402893
300,44, 420.94234919548035
300,41, 422.03755927085876
300,44, 423.12997245788574
301,40, 424.2219281196594
300,42, 425.31451296806335
300,37, 426.4078893661499
300,43, 427.50558614730835
300,44, 428.5991232395172
300,43, 429.6903381347656
300,42, 430.7812056541443
300,37, 431.87429428100586
301,38, 432.9660532474518
300,39, 434.0593514442444
300,52, 435.1507966518402
300,41, 436.24446964263916
300,37, 437.33760809898376
300,38, 438.4301495552063
300,41, 439.5227122306824
300,52, 440.6158354282379
300,42, 441.71117663383484
301,41, 442.8019540309906
300,41, 443.89977955818176
300,37, 444.9944598674774
300,39, 446.08737206459045
300,47, 447.17740273475647
300,44, 448.27209877967834
300,48, 449.3661308288574
300,54, 450.4573976993561
300,39, 451.55037665367126
301,44, 452.6436233520508
300,43, 453.73450469970703
300,39, 454.82819294929504
300,35, 455.92288875579834
300,52, 457.0157253742218
300,51, 458.10745191574097
300,50, 459.20104813575745
300,47, 460.29283833503723
301,35, 461.3868360519409
300,38, 462.47955536842346
300,43, 463.57322359085083
300,41, 464.66920137405396
300,34, 465.76398825645447
300,41, 466.8575966358185
300,50, 467.94917035102844
300,28, 469.0452649593353
301,41, 470.1394500732422
300,48, 471.231787443161
300,45, 472.3243591785431
300,42, 473.4158675670624
300,37, 474.5096242427826
300,48, 475.60125517845154
300,42, 476.69793581962585
300,46, 477.78991532325745
300,36, 478.8856027126312
301,53, 479.97716331481934
300,46, 481.0697751045227
300,45, 482.1632442474365
300,49, 483.2547481060028
300,42, 484.34805727005005
300,43, 485.4472393989563
300,38, 486.54004287719727
300,47, 487.63130617141724
300,39, 488.7245216369629
300,57, 489.8178129196167
300,35, 490.9142556190491
300,41, 492.00654196739197
300,44, 493.10110545158386
300,42, 494.1978380680084
300,51, 495.2912964820862
300,52, 496.38567662239075
300,33, 497.4797763824463
301,34, 498.5723788738251
300,47, 499.6646406650543
300,52, 500.76107001304626
300,39, 501.8535752296448
300,46, 502.94691371917725
300,36, 504.03909277915955
300,37, 505.13284134864807
300,45, 506.2259883880615
301,42, 507.32145380973816
300,35, 508.41316318511963
300,34, 509.50578451156616
300,45, 510.598286151886
300,50, 511.6918065547943
300,45, 512.786173582077
300,39, 513.8791227340698
300,39, 514.9708018302917
300,41, 516.0643553733826
301,41, 517.1583826541901
300,35, 518.2509608268738
300,37, 519.3433599472046
300,52, 520.4359500408173
300,45, 521.5283012390137
300,52, 522.6259679794312
300,29, 523.7218487262726
301,36, 524.8150854110718
301,38, 525.9073193073273
300,48, 527.0000936985016
300,43, 528.0937829017639
300,51, 529.1852886676788
300,48, 530.2789380550385
300,35, 531.3758890628815
300,42, 532.4665386676788
300,47, 533.559298992157
301,42, 534.651802778244
301,47, 535.7460598945618
300,42, 536.8402292728424
300,50, 537.9377090930939
300,49, 539.0317244529724
300,45, 540.1254646778107
300,39, 541.2190408706665
300,46, 542.3095846176147
300,41, 543.4050743579865
301,39, 544.4956805706024
300,53, 545.5882754325867
300,43, 546.6849136352539
300,45, 547.7763519287109
300,41, 548.8718416690826
300,44, 549.967714548111
300,45, 551.0627682209015
300,38, 552.1555438041687
300,50, 553.2484269142151
301,41, 554.3451478481293
300,35, 555.4359028339386
300,47, 556.5284776687622
300,39, 557.6279032230377
300,30, 558.71675157547
300,52, 559.8136878013611
300,34, 560.9084713459015
300,46, 562.00577044487
301,32, 563.0982158184052
300,44, 564.192465543747
300,45, 565.2848365306854
300,46, 566.3776705265045
300,54, 567.4716689586639
300,37, 568.5635368824005
300,42, 569.6576173305511
300,45, 570.7543489933014
300,38, 571.8462190628052
301,45, 572.9402058124542
300,31, 574.0337514877319
300,51, 575.1264531612396
300,46, 576.2214066982269
300,40, 577.3139259815216
300,47, 578.4097101688385
300,43, 579.5032157897949
300,50, 580.5970726013184
300,43, 581.6901257038116
300,44, 582.7833871841431
300,45, 583.8789582252502
300,45, 584.9724400043488
300,28, 586.0651557445526
300,43, 587.1588020324707
300,41, 588.2525925636292
300,42, 589.3487546443939
300,40, 590.4435920715332
300,45, 591.5351686477661
301,43, 592.6267800331116
300,40, 593.7183825969696
300,49, 594.812043428421
300,42, 595.9073152542114
300,37, 597.0032501220703
300,24, 598.0967473983765
300,47, 599.1881844997406
300,39, 600.2800936698914
301,42, 601.3728988170624
300,45, 602.4675879478455
300,33, 603.5599763393402
300,36, 604.6517164707184
300,36, 605.742335319519
300,37, 606.8412222862244
300,45, 607.9366412162781
300,37, 609.0293464660645
301,48, 610.1223764419556
300,44, 611.2173438072205
300,34, 612.3101127147675
300,39, 613.4032344818115
300,38, 614.496148109436
300,33, 615.5897340774536
300,40, 616.6833817958832
300,44, 617.7750813961029
300,42, 618.86781001091
301,38, 619.9628849029541
300,40, 621.0531995296478
300,47, 622.1476631164551
300,45, 623.2424864768982
300,35, 624.3357853889465
300,33, 625.4271810054779
300,43, 626.5215156078339
300,50, 627.6183066368103
300,49, 628.7126252651215
300,52, 629.8083527088165
300,50, 630.899781703949
300,50, 631.9930412769318
300,45, 633.0871195793152
300,40, 634.1795694828033
300,35, 635.2731835842133
300,40, 636.3663249015808
300,41, 637.4587898254395
301,49, 638.5506417751312
300,50, 639.6445140838623
300,47, 640.7372484207153
300,46, 641.8298804759979
300,39, 642.9248433113098
300,47, 644.0162851810455
300,39, 645.1089460849762
300,41, 646.2054841518402
301,41, 647.2984156608582
301,44, 648.3945300579071
300,38, 649.4848246574402
300,39, 650.5808823108673
300,41, 651.6743969917297
300,51, 652.7685441970825
300,37, 653.8623223304749
300,42, 654.9559562206268
300,46, 656.0492355823517
301,41, 657.1414096355438
300,34, 658.2329292297363
300,48, 659.326363325119
300,43, 660.4201202392578
300,38, 661.5129547119141
300,52, 662.6068227291107
300,47, 663.6997487545013
300,40, 664.792466878891
301,44, 665.8858227729797
300,45, 666.9777224063873
300,49, 668.0703737735748
300,44, 669.1665742397308
300,42, 670.2597222328186
300,38, 671.3526062965393
300,50, 672.4452638626099
300,41, 673.5408546924591
300,51, 674.6357917785645
301,45, 675.7323489189148
300,38, 676.8244619369507
300,38, 677.9178507328033
300,46, 679.0103616714478
300,42, 680.1028916835785
300,52, 681.1995761394501
300,48, 682.2920045852661
300,43, 683.3830142021179
301,39, 684.4763422012329
300,41, 685.5717391967773
300,50, 686.6643035411835
300,41, 687.7581038475037
300,44, 688.8489046096802
300,33, 689.9427700042725
300,35, 691.0343449115753
301,45, 692.127872467041
300,35, 693.2204282283783
300,38, 694.3120248317719
300,37, 695.404904127121
300,49, 696.4975824356079
300,42, 697.5907955169678
300,36, 698.6832377910614
300,47, 699.7773537635803
300,40, 700.8707571029663
301,45, 701.9643371105194
300,29, 703.0564217567444
300,29, 704.1484897136688
300,43, 705.2419331073761
300,38, 706.3351054191589
300,45, 707.4306979179382
300,38, 708.5240545272827
300,48, 709.6201870441437
300,32, 710.710743188858
300,43, 711.8066449165344
300,40, 712.8984959125519
300,41, 713.9925701618195
300,40, 715.0858981609344
300,36, 716.1797590255737
300,40, 717.2733554840088
300,54, 718.3669414520264
300,36, 719.4563982486725
300,33, 720.548134803772
301,44, 721.6398568153381
300,49, 722.7327625751495
300,45, 723.8304252624512
300,59, 724.9232277870178
300,45, 726.0168373584747
300,44, 727.1082136631012
300,46, 728.1995651721954
300,38, 729.2913491725922
301,56, 730.385095834732
301,42, 731.4789233207703
300,48, 732.5705661773682
300,38, 733.661218881607
300,56, 734.7555820941925
300,50, 735.848452091217
300,48, 736.9423358440399
300,38, 738.0382823944092
300,40, 739.1297407150269
301,52, 740.222859621048
300,45, 741.3169491291046
300,45, 742.4096579551697
300,45, 743.5046498775482
300,43, 744.5994935035706
300,43, 745.6913409233093
300,46, 746.7841811180115
300,44, 747.8788266181946
301,46, 748.9721913337708
300,43, 750.064197063446
300,41, 751.1566970348358
300,34, 752.249427318573
300,40, 753.3420231342316
300,39, 754.4359345436096
300,48, 755.5309929847717
300,44, 756.6235432624817
300,51, 757.7151551246643
301,42, 758.8058335781097
300,37, 759.8995587825775
300,35, 760.9931683540344
300,46, 762.0868360996246
300,44, 763.1798579692841
300,37, 764.2746298313141
300,50, 765.3664910793304
300,46, 766.4592049121857
300,52, 767.5553300380707
301,45, 768.6479225158691
301,36, 769.7397038936615
300,41, 770.8327889442444
300,40, 771.924488067627
300,48, 773.0198948383331
300,40, 774.1180355548859
300,38, 775.2092742919922
300,38, 776.3017239570618
300,41, 777.4006500244141
301,35, 778.4957375526428
301,38, 779.5900609493256
300,42, 780.6826107501984
300,38, 781.7782161235809
300,38, 782.8684771060944
300,44, 783.9600284099579
300,36, 785.0532333850861
300,50, 786.145697593689
300,43, 787.2390005588531
301,54, 788.3307025432587
300,48, 789.4243693351746
300,51, 790.5169014930725
300,44, 791.6123468875885
300,41, 792.7056813240051
300,33, 793.8011722564697
300,46, 794.8953754901886
300,45, 795.9888608455658
300,43, 797.0846977233887
301,39, 798.177440404892
300,50, 799.2676076889038
300,42, 800.3600132465363
300,37, 801.4537291526794
300,44, 802.5462622642517
300,44, 803.640168428421
300,48, 804.7329339981079
300,44, 805.8256659507751
301,41, 806.9181106090546
300,31, 808.0098302364349
300,35, 809.1026899814606
300,44, 810.1953718662262
300,44, 811.2869777679443
300,39, 812.3807415962219
300,37, 813.4739415645599
300,50, 814.5666980743408
300,43, 815.6596331596375
301,41, 816.7537670135498
300,35, 817.8455331325531
300,42, 818.9405794143677
300,36, 820.0366191864014
300,45, 821.1300659179688
300,44, 822.2249686717987
300,35, 823.3165557384491
300,39, 824.4085247516632
300,43, 825.5019180774689
301,49, 826.5967087745667
300,36, 827.691276550293
300,40, 828.7835211753845
300,50, 829.876895904541
300,45, 830.9698960781097
300,42, 832.0640797615051
300,47, 833.1545443534851
300,33, 834.2490062713623
300,36, 835.342010974884
