countA, countB, T
300,54, 1.0888659954071045
300,53, 2.1816906929016113
301,55, 3.2750744819641113
301,60, 4.362810373306274
300,52, 5.4618079662323
300,70, 6.5467634201049805
300,45, 7.644183397293091
300,51, 8.729950428009033
300,47, 9.814832210540771
300,61, 10.903048038482666
300,52, 11.995575666427612
301,55, 13.086220979690552
300,49, 14.173153400421143
300,44, 15.26245403289795
300,49, 16.3537380695343
300,55, 17.44523787498474
300,51, 18.53495764732361
300,55, 19.62878155708313
300,58, 20.723729610443115
300,62, 21.81683874130249
300,48, 22.909449815750122
300,52, 24.002212047576904
300,53, 25.09165620803833
300,48, 26.189449071884155
300,59, 27.282018661499023
300,49, 28.380399703979492
300,48, 29.47745966911316
300,51, 30.56937575340271
301,52, 31.663896083831787
301,41, 32.7579083442688
300,56, 33.849186420440674
300,58, 34.94167900085449
300,57, 36.036343574523926
300,46, 37.12900900840759
300,44, 38.2219922542572
300,50, 39.31636118888855
300,54, 40.409096479415894
301,55, 41.50385308265686
300,51, 42.6011803150177
300,51, 43.69094657897949
300,51, 44.78510236740112
300,55, 45.87674522399902
300,57, 46.96419978141785
300,57, 48.05298972129822
300,44, 49.14474606513977
301,45, 50.236862897872925
301,53, 51.330525159835815
300,53, 52.4224967956543
300,53, 53.51457238197327
300,51, 54.60789728164673
300,57, 55.69971251487732
300,51, 56.78682732582092
300,59, 57.88344216346741
300,58, 58.97731113433838
301,58, 60.0706729888916
300,49, 61.163620948791504
300,49, 62.25274348258972
300,53, 63.34900689125061
300,51, 64.44094109535217
300,61, 65.53418588638306
300,52, 66.62732720375061
300,60, 67.7210636138916
300,49, 68.82117033004761
301,47, 69.91164898872375
300,51, 71.0028464794159
300,55, 72.09685325622559
300,56, 73.18946361541748
300,62, 74.2819836139679
300,42, 75.37697315216064
300,57, 76.47175931930542
300,48, 77.56480979919434
300,58, 78.66499066352844
301,56, 79.75899291038513
301,54, 80.85446643829346
300,62, 81.94604158401489
300,70, 83.04059839248657
300,49, 84.13403534889221
300,51, 85.22795414924622
300,46, 86.32045316696167
300,53, 87.41712403297424
300,52, 88.5126223564148
301,42, 89.60663414001465
300,53, 90.70002794265747
300,59, 91.79403877258301
300,56, 92.88875079154968
300,56, 93.98264026641846
300,56, 95.0755226612091
300,55, 96.16747045516968
300,60, 97.2640769481659
300,42, 98.36012887954712
301,47, 99.4569787979126
300,56, 100.55232310295105
300,59, 101.6435649394989
300,53, 102.737056016922
300,56, 103.82899832725525
300,47, 104.92091846466064
300,45, 106.01357960700989
300,55, 107.10628843307495
301,43, 108.19905662536621
300,50, 109.2927634716034
300,44, 110.38746905326843
300,58, 111.4816324710846
300,53, 112.5754816532135
300,48, 113.67110395431519
300,49, 114.76237297058105
300,47, 115.85525274276733
301,59, 116.94954085350037
300,46, 118.03920340538025
300,45, 119.13287663459778
300,65, 120.22600412368774
300,60, 121.32030296325684
300,52, 122.41738796234131
300,46, 123.51083421707153
300,56, 124.6057858467102
300,46, 125.698002576828
301,53, 126.7956473827362
300,52, 127.88838052749634
300,44, 128.98128461837769
300,51, 130.0792441368103
300,50, 131.17372727394104
300,46, 132.26833176612854
300,45, 133.3618679046631
300,42, 134.45525598526
300,50, 135.55171179771423
301,52, 136.64605927467346
300,54, 137.74060153961182
300,60, 138.83699941635132
300,49, 139.92860221862793
300,48, 141.02020454406738
300,51, 142.1145305633545
300,53, 143.2076063156128
300,54, 144.30121612548828
301,56, 145.39925074577332
300,55, 146.49232530593872
