countA, countB, T
300,62, 1.0969412326812744
300,60, 2.18582820892334
300,55, 3.2794461250305176
300,70, 4.373485088348389
301,54, 5.466202735900879
300,78, 6.565201282501221
300,58, 7.65770697593689
300,61, 8.756340980529785
300,61, 9.84260869026184
300,58, 10.937640905380249
300,61, 12.029159307479858
300,59, 13.138025283813477
301,61, 14.22921895980835
301,61, 15.320058345794678
300,80, 16.41434955596924
300,63, 17.503344774246216
300,57, 18.601754426956177
300,55, 19.694637060165405
300,62, 20.786689519882202
300,59, 21.887957096099854
300,69, 22.984795570373535
301,65, 24.072343587875366
300,64, 25.1708722114563
300,56, 26.269307613372803
300,56, 27.364182710647583
300,52, 28.452959775924683
300,55, 29.552692651748657
300,64, 30.64052152633667
300,61, 31.74094796180725
301,62, 32.82751798629761
300,56, 33.91896033287048
300,62, 35.013572454452515
300,54, 36.10468292236328
300,67, 37.196083784103394
300,60, 38.292242765426636
300,65, 39.38475275039673
300,73, 40.475000619888306
309,56, 41.56808018684387
300,69, 42.657854318618774
300,63, 43.753844261169434
300,66, 44.846193075180054
300,63, 45.93895506858826
300,51, 47.031662940979004
300,69, 48.124329805374146
300,66, 49.22375202178955
300,59, 50.3163001537323
300,69, 51.415950775146484
301,60, 52.51049447059631
300,64, 53.60739731788635
300,67, 54.699108362197876
300,69, 55.79369497299194
300,64, 56.88728094100952
300,70, 57.98014998435974
300,66, 59.077338457107544
300,60, 60.16754126548767
300,52, 61.25698399543762
301,71, 62.35005569458008
300,56, 63.44392704963684
300,68, 64.53101873397827
300,68, 65.61937022209167
300,66, 66.71003246307373
300,63, 67.80073857307434
300,66, 68.89279389381409
300,56, 69.98559474945068
301,64, 71.07829284667969
301,67, 72.17187237739563
300,61, 73.2607581615448
300,61, 74.35658764839172
300,71, 75.4484212398529
300,60, 76.5449469089508
300,61, 77.64176750183105
300,55, 78.73233294487
301,55, 79.82478308677673
301,70, 80.91912579536438
300,66, 82.01147985458374
300,69, 83.10142970085144
300,61, 84.19290590286255
300,74, 85.28778553009033
300,69, 86.37929511070251
300,64, 87.4711742401123
300,61, 88.5609393119812
301,63, 89.65436673164368
300,53, 90.74589204788208
300,56, 91.83856201171875
300,65, 92.92959713935852
300,63, 94.02415466308594
300,68, 95.22518968582153
300,48, 96.31775212287903
300,64, 97.4093074798584
300,58, 98.50398778915405
301,57, 99.59891557693481
300,67, 100.6914496421814
300,64, 101.78642892837524
300,68, 102.87785983085632
300,77, 103.97031211853027
300,62, 105.06578946113586
300,71, 106.15753650665283
300,70, 107.25001668930054
300,58, 108.34259700775146
301,52, 109.4361219406128
300,55, 110.52975416183472
300,65, 111.62207269668579
300,62, 112.71566939353943
300,65, 113.80816674232483
300,65, 114.90093755722046
300,67, 115.99001336097717
300,68, 117.07937240600586
301,57, 118.16529369354248
300,61, 119.25681710243225
300,63, 120.35029244422913
300,61, 121.44379711151123
300,66, 122.53345370292664
300,65, 123.62842559814453
300,61, 124.71796870231628
300,59, 125.80744171142578
301,66, 126.89714336395264
301,59, 127.98678660392761
300,70, 129.07861518859863
300,69, 130.17010807991028
300,60, 131.26441931724548
300,58, 132.3558897972107
300,64, 133.4490110874176
300,68, 134.54270243644714
300,57, 135.63512921333313
301,62, 136.72687554359436
300,57, 137.81835556030273
300,66, 138.91388392448425
300,61, 140.00637817382812
300,71, 141.0999710559845
300,66, 142.19812178611755
300,63, 143.2897970676422
300,64, 144.38147377967834
300,68, 145.47747707366943
301,61, 146.57019472122192
300,63, 147.6640214920044
300,63, 148.75775933265686
300,58, 149.84946298599243
300,65, 150.9445071220398
300,52, 152.0435175895691
300,59, 153.13794207572937
300,66, 154.23449802398682
300,63, 155.3309223651886
301,60, 156.42266249656677
300,65, 157.51378202438354
300,69, 158.6111466884613
300,56, 159.70355010032654
300,68, 160.7972731590271
300,61, 161.89149856567383
300,56, 162.98299551010132
300,55, 164.08179593086243
301,66, 165.17459774017334
300,55, 166.26849102973938
300,70, 167.36845421791077
300,52, 168.46621179580688
300,66, 169.5633533000946
300,67, 170.6598060131073
300,62, 171.75491905212402
300,64, 172.84756326675415
301,63, 173.9466187953949
301,71, 175.04015612602234
300,77, 176.1353600025177
300,58, 177.22682571411133
300,71, 178.32132506370544
300,68, 179.41497230529785
300,60, 180.5089728832245
300,64, 181.60253047943115
301,74, 182.69633507728577
301,61, 183.79136562347412
300,62, 184.8899519443512
300,57, 185.9833526611328
300,56, 187.07573127746582
300,64, 188.1692225933075
300,64, 189.26272344589233
300,67, 190.35454607009888
300,60, 191.44920086860657
300,61, 192.54534077644348
300,65, 193.63866186141968
300,57, 194.73310041427612
300,65, 195.82661151885986
300,59, 196.9207525253296
300,66, 198.013356924057
300,65, 199.10663652420044
300,72, 200.20256328582764
300,72, 201.299471616745
301,66, 202.3881733417511
301,66, 203.48040223121643
300,59, 204.5730001926422
